battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-1041645_Al,Al0-1Sb(WO4)2,Al0Sb(WO4)2,Al1Sb(WO4)2,Sb(WO4)2,Al,1,0.137117541,0.189050351,"[InsertionVoltagePairDoc(max_delta_volume=0.07904439024505083, average_voltage=1.4079751116666657, capacity_grav=124.77087980484633, capacity_vol=978.4381310449063, energy_grav=175.67429342597663, energy_vol=1377.6165368168756, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Sb(WO4)2', formula_discharge='AlSb(WO4)2', stability_charge=0.13711754124999942, stability_discharge=0.18905035083333388, id_charge=MPID(mp-1047752), id_discharge=MPID(mp-1041645))]",124.7708798,175.6742934,978.438131,1377.616537,1.407975112,mp-1047752,mp-1041645,Monoclinic,13,Monoclinic,13
mp-6172_Al,Al0-0.67FeSiO4,Al0FeSiO4,Al0.67FeSiO4,FeSiO4,Al,2,0.432407462,0.024439558,"[InsertionVoltagePairDoc(max_delta_volume=0.003141769711764386, average_voltage=3.911030626666675, capacity_grav=170.79498307524744, capacity_vol=699.6600077883325, energy_grav=667.9844096883091, energy_vol=2736.3917187140123, fracA_charge=0.0, fracA_discharge=0.05263157894736842, formula_charge='FeSiO4', formula_discharge='AlFe3(SiO4)3', stability_charge=0.43240746249999873, stability_discharge=0.24467345888157688, id_charge=MPID(mp-1143147), id_discharge=MPID(mp-1250723)), InsertionVoltagePairDoc(max_delta_volume=0.04000438961084818, average_voltage=3.1806858208333346, capacity_grav=161.53664915000513, capacity_vol=672.7471679712171, energy_grav=513.7973294963505, energy_vol=2139.797378171832, fracA_charge=0.05263157894736842, fracA_discharge=0.1, formula_charge='AlFe3(SiO4)3', formula_discharge='Al2Fe3(SiO4)3', stability_charge=0.24467345888157688, stability_discharge=0.024439558499985026, id_charge=MPID(mp-1250723), id_discharge=MPID(mp-6172))]",323.0732983,1145.572112,1345.494336,4770.932156,3.545858224,mp-1143147,mp-6172,Cubic,230,Cubic,230
mp-6186_Al,Al0-0.67CoSiO4,Al0CoSiO4,Al0.67CoSiO4,CoSiO4,Al,1,0.519128298,0.0480707,"[InsertionVoltagePairDoc(max_delta_volume=0.05247905720841772, average_voltage=4.004917053333332, capacity_grav=317.16980833037894, capacity_vol=1379.9081773012235, energy_grav=1270.238774184799, energy_vol=5526.417791307786, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='CoSiO4', formula_discharge='Al2Co3(SiO4)3', stability_charge=0.5191282977777698, stability_discharge=0.04807070012498649, id_charge=MPID(mp-1172361), id_discharge=MPID(mp-6186))]",317.1698083,1270.238774,1379.908177,5526.417791,4.004917053,mp-1172361,mp-6186,Cubic,230,Cubic,230
mp-35267_Al,Al4.33-5CuS8,Al4.33CuS8,Al5CuS8,CuS8,Al,2,0.097958107,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.007478821039041295, average_voltage=1.6696700566666578, capacity_grav=60.095722570583064, capacity_vol=179.37135114361098, energy_grav=100.34002850984918, energy_vol=299.4909740283279, fracA_charge=0.325, fracA_discharge=0.34146341463414637, formula_charge='Al13(CuS8)3', formula_discharge='Al14(CuS8)3', stability_charge=0.09795810666666682, stability_discharge=0.04720004861789029, id_charge=MPID(mp-1262123), id_discharge=MPID(mp-1258739)), InsertionVoltagePairDoc(max_delta_volume=0.009961814240419198, average_voltage=1.6536966300000036, capacity_grav=58.90776006990776, capacity_vol=177.60211189619446, energy_grav=97.41556430845523, energy_vol=293.7000139236203, fracA_charge=0.34146341463414637, fracA_discharge=0.35714285714285715, formula_charge='Al14(CuS8)3', formula_discharge='Al5CuS8', stability_charge=0.04720004861789029, stability_discharge=0.0, id_charge=MPID(mp-1258739), id_discharge=MPID(mp-35267))]",117.8155201,195.7720874,355.2042238,590.2369422,1.661683343,mp-1262123,mp-35267,Monoclinic,8,Cubic,216
mp-1345463_Al,Al0-1CrO3,Al0CrO3,Al1CrO3,CrO3,Al,1,0.202776377,0.176285461,"[InsertionVoltagePairDoc(max_delta_volume=0.018873665798643247, average_voltage=2.727672965833333, capacity_grav=633.2263233904066, capacity_vol=2795.822692763278, energy_grav=1727.2343235660476, energy_vol=7626.089976313746, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='CrO3', formula_discharge='AlCrO3', stability_charge=0.20277637700000017, stability_discharge=0.1762854609999991, id_charge=MPID(mp-1389926), id_discharge=MPID(mp-1345463))]",633.2263234,1727.234324,2795.822693,7626.089976,2.727672966,mp-1389926,mp-1345463,Monoclinic,4,Orthorhombic,62
mp-1042105_Al,Al0-1V(WO4)2,Al0V(WO4)2,Al1V(WO4)2,V(WO4)2,Al,1,0.110051021,0.021647298,"[InsertionVoltagePairDoc(max_delta_volume=0.038659172324339464, average_voltage=2.0336163866666674, capacity_grav=140.1755410413, capacity_vol=1017.5344401353681, energy_grav=285.0632772714536, energy_vol=2069.2747114569775, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='V(WO4)2', formula_discharge='AlV(WO4)2', stability_charge=0.11005102136362943, stability_discharge=0.0216472983333329, id_charge=MPID(mp-1047717), id_discharge=MPID(mp-1042105))]",140.175541,285.0632773,1017.53444,2069.274711,2.033616387,mp-1047717,mp-1042105,Monoclinic,13,Monoclinic,13
mp-1143241_Al,Al0-0.67CrSiO4,Al0CrSiO4,Al0.67CrSiO4,CrSiO4,Al,1,0.466913468,0.070495277,"[InsertionVoltagePairDoc(max_delta_volume=0.1466847365716466, average_voltage=2.932545750416667, capacity_grav=330.74591298036006, capacity_vol=1316.1828300790276, energy_grav=969.9275215782357, energy_vol=3859.7663651196344, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='CrSiO4', formula_discharge='Al2Cr3(SiO4)3', stability_charge=0.4669134675000013, stability_discharge=0.07049527749999918, id_charge=MPID(mp-1143241), id_discharge=MPID(mp-1364177))]",330.745913,969.9275216,1316.18283,3859.766365,2.93254575,mp-1143241,mp-1364177,Cubic,230,Cubic,230
mp-1041860_Al,Al0-1Te(WO4)2,Al0Te(WO4)2,Al1Te(WO4)2,Te(WO4)2,Al,1,0.091661862,0.18550783,"[InsertionVoltagePairDoc(max_delta_volume=0.08521783770794111, average_voltage=1.3284931216666653, capacity_grav=123.65030404637115, capacity_vol=941.6423428478367, energy_grav=164.2685784175959, energy_vol=1250.965375543435, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Te(WO4)2', formula_discharge='AlTe(WO4)2', stability_charge=0.09166186238636875, stability_discharge=0.18550782981770908, id_charge=MPID(mp-1041860), id_discharge=MPID(mp-1041870))]",123.650304,164.2685784,941.6423428,1250.965376,1.328493122,mp-1041860,mp-1041870,Monoclinic,13,Monoclinic,13
mp-19456_Al,Al0-0.5VO2,Al0VO2,Al0.5VO2,VO2,Al,1,0.16138561,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.002508440394891398, average_voltage=1.8138545716666696, capacity_grav=416.9011295827852, capacity_vol=1808.6267951977288, energy_grav=756.1980198267336, energy_vol=3280.5859809082376, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='VO2', formula_discharge='AlV2O4', stability_charge=0.16138561000000173, stability_discharge=0.0, id_charge=MPID(mp-714960), id_discharge=MPID(mp-1281387))]",416.9011296,756.1980198,1808.626795,3280.585981,1.813854572,mp-714960,mp-1281387,Tetragonal,141,Orthorhombic,74
mp-34728_Al,Al1.67-2CuO4,Al1.67CuO4,Al2CuO4,CuO4,Al,1,0.121049786,0.059305181,"[InsertionVoltagePairDoc(max_delta_volume=0.001937587896839954, average_voltage=3.050088840000004, capacity_grav=147.66113048189217, capacity_vol=657.4575024415287, energy_grav=450.37956618460373, energy_vol=2005.303790971182, fracA_charge=0.25, fracA_discharge=0.2857142857142857, formula_charge='Al5(CuO4)3', formula_discharge='Al2CuO4', stability_charge=0.1210497855937378, stability_discharge=0.05930518119047168, id_charge=MPID(mp-1362276), id_discharge=MPID(mp-34728))]",147.6611305,450.3795662,657.4575024,2005.303791,3.05008884,mp-1362276,mp-34728,Monoclinic,8,Trigonal,156
