battery_id,battery_formula,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,formula_charge,formula_discharge,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,charge_energy_per_atom,charge_formation_energy_per_atom,charge_band_gap,charge_efermi,discharge_crystal_system,discharge_space_group_number,discharge_energy_per_atom,discharge_formation_energy_per_atom,discharge_band_gap,discharge_efermi,charge_H,charge_Li,charge_Na,charge_K,charge_Rb,charge_Cs,charge_Fr,charge_Be,charge_Mg,charge_Ca,charge_Sr,charge_Ba,charge_Ra,charge_Sc,charge_Y,charge_La-Lu,charge_Ac-Lr,charge_La,charge_Ac,charge_Ti,charge_Zr,charge_Hf,charge_Rf,charge_Ce,charge_Th,charge_V,charge_Nb,charge_Ta,charge_Db,charge_Pr,charge_Pa,charge_Cr,charge_Mo,charge_W,charge_Sg,charge_Nd,charge_U,charge_Mn,charge_Tc,charge_Re,charge_Bh,charge_Pm,charge_Np,charge_Fe,charge_Ru,charge_Os,charge_Hs,charge_Sm,charge_Pu,charge_Co,charge_Rh,charge_Ir,charge_Mt,charge_Eu,charge_Am,charge_Ni,charge_Pd,charge_Pt,charge_Ds,charge_Gd,charge_Cm,charge_Cu,charge_Ag,charge_Au,charge_Rg,charge_Tb,charge_Bk,charge_Zn,charge_Cd,charge_Hg,charge_Cn,charge_Dy,charge_Cf,charge_B,charge_Al,charge_Ga,charge_In,charge_Tl,charge_Nh,charge_Ho,charge_Es,charge_C,charge_Si,charge_Ge,charge_Sn,charge_Pb,charge_Fl,charge_Er,charge_Fm,charge_N,charge_P,charge_As,charge_Sb,charge_Bi,charge_Mc,charge_Tm,charge_Md,charge_O,charge_S,charge_Se,charge_Te,charge_Po,charge_Lv,charge_Yb,charge_No,charge_F,charge_Cl,charge_Br,charge_I,charge_At,charge_Ts,charge_Lu,charge_Lr,charge_He,charge_Ne,charge_Ar,charge_Kr,charge_Xe,charge_Rn,charge_Og,discharge_H,discharge_Li,discharge_Na,discharge_K,discharge_Rb,discharge_Cs,discharge_Fr,discharge_Be,discharge_Mg,discharge_Ca,discharge_Sr,discharge_Ba,discharge_Ra,discharge_Sc,discharge_Y,discharge_La-Lu,discharge_Ac-Lr,discharge_La,discharge_Ac,discharge_Ti,discharge_Zr,discharge_Hf,discharge_Rf,discharge_Ce,discharge_Th,discharge_V,discharge_Nb,discharge_Ta,discharge_Db,discharge_Pr,discharge_Pa,discharge_Cr,discharge_Mo,discharge_W,discharge_Sg,discharge_Nd,discharge_U,discharge_Mn,discharge_Tc,discharge_Re,discharge_Bh,discharge_Pm,discharge_Np,discharge_Fe,discharge_Ru,discharge_Os,discharge_Hs,discharge_Sm,discharge_Pu,discharge_Co,discharge_Rh,discharge_Ir,discharge_Mt,discharge_Eu,discharge_Am,discharge_Ni,discharge_Pd,discharge_Pt,discharge_Ds,discharge_Gd,discharge_Cm,discharge_Cu,discharge_Ag,discharge_Au,discharge_Rg,discharge_Tb,discharge_Bk,discharge_Zn,discharge_Cd,discharge_Hg,discharge_Cn,discharge_Dy,discharge_Cf,discharge_B,discharge_Al,discharge_Ga,discharge_In,discharge_Tl,discharge_Nh,discharge_Ho,discharge_Es,discharge_C,discharge_Si,discharge_Ge,discharge_Sn,discharge_Pb,discharge_Fl,discharge_Er,discharge_Fm,discharge_N,discharge_P,discharge_As,discharge_Sb,discharge_Bi,discharge_Mc,discharge_Tm,discharge_Md,discharge_O,discharge_S,discharge_Se,discharge_Te,discharge_Po,discharge_Lv,discharge_Yb,discharge_No,discharge_F,discharge_Cl,discharge_Br,discharge_I,discharge_At,discharge_Ts,discharge_Lu,discharge_Lr,discharge_He,discharge_Ne,discharge_Ar,discharge_Kr,discharge_Xe,discharge_Rn,discharge_Og
mp-1041904_Ca,Ca0-1Mn(SiO3)2,Mn(SiO3)2,Ca,1,0.209799891,0.043134873,"[InsertionVoltagePairDoc(max_delta_volume=0.02287006751856091, average_voltage=3.8305772643749973, capacity_grav=216.85498513352212, capacity_vol=686.6931322162262, energy_grav=830.6797757188478, energy_vol=2630.43109986993, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='Mn(SiO3)2', formula_discharge='CaMn(SiO3)2', stability_charge=0.20979989097222074, stability_discharge=0.04313487287500095, id_charge=MPID(mp-1042331), id_discharge=MPID(mp-1041904))]",216.8549851,830.6797757,686.6931322,2630.4311,3.830577264,Mn(SiO3)2,CaMn(SiO3)2,mp-1042331,mp-1041904,Orthorhombic,61,-8.092530592,-2.570262885,0.798,1.25036356,Orthorhombic,61,-8.249952973,-3.079352049,3.2155,2.81926002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-25238_Ca,Ca0-1Cr(SiO3)2,Cr(SiO3)2,Ca,1,0.109320381,0.04091819,"[InsertionVoltagePairDoc(max_delta_volume=0.14719658432091687, average_voltage=2.9529112462499993, capacity_grav=219.46705326788356, capacity_vol=736.9595134306969, energy_grav=648.066729776081, energy_vol=2176.176035240432, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='Cr(SiO3)2', formula_discharge='CaCr(SiO3)2', stability_charge=0.1093203811111163, stability_discharge=0.04091818958332816, id_charge=MPID(mp-25238), id_discharge=MPID(mp-1157256))]",219.4670533,648.0667298,736.9595134,2176.176035,2.952911246,Cr(SiO3)2,CaCr(SiO3)2,mp-25238,mp-1157256,Monoclinic,15,-8.328192873,-2.751366035,0.2264,2.02272025,Monoclinic,15,-8.286515823,-3.066811681,0.0,6.17325881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-25283_Ca,Ca0-0.5VO2,VO2,Ca,1,0.16138561,0.028544175,"[InsertionVoltagePairDoc(max_delta_volume=0.20099456604734933, average_voltage=2.7484197900000025, capacity_grav=260.26085966173673, capacity_vol=1006.478951678344, energy_grav=715.3060972567306, energy_vol=2766.226669011217, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='VO2', formula_discharge='CaV2O4', stability_charge=0.16138561000000173, stability_discharge=0.028544174642862075, id_charge=MPID(mp-714960), id_discharge=MPID(mp-1317973))]",260.2608597,715.3060973,1006.478952,2766.226669,2.74841979,VO2,CaV2O4,mp-714960,mp-1317973,Tetragonal,141,-8.645499448,-2.318890088,0.0,2.94185604,Tetragonal,141,-8.482205164,-2.772882873,0.0,4.29822413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1384645_Ca,Ca2-2.5VN3,VN3,Ca,1,0.707699469,0.277627015,"[InsertionVoltagePairDoc(max_delta_volume=0.01814735975991888, average_voltage=2.5972850849999984, capacity_grav=138.7551921361418, capacity_vol=398.1124764146638, energy_grav=360.3867910015102, energy_vol=1034.0115971442199, fracA_charge=0.3333333333333333, fracA_discharge=0.38461538461538464, formula_charge='Ca2VN3', formula_discharge='Ca5(VN3)2', stability_charge=0.7076994691666698, stability_discharge=0.2776270150000011, id_charge=MPID(mp-1392290), id_discharge=MPID(mp-1384645))]",138.7551921,360.386791,398.1124764,1034.011597,2.597285085,Ca2VN3,Ca5(VN3)2,mp-1392290,mp-1384645,Orthorhombic,38,-7.009293975,-0.658528874,0.0,1.5175505,Monoclinic,6,-7.02397675,-1.007455128,0.0,2.56598518,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-504100_Ca,Ca0-0.5CuO2,CuO2,Ca,1,0.174862157,0.240477942,"[InsertionVoltagePairDoc(max_delta_volume=0.20371626424291067, average_voltage=3.58594041, capacity_grav=231.87921789527502, capacity_vol=1054.4915241474976, energy_grav=831.5050576898618, energy_vol=3781.3437684430023, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CuO2', formula_discharge='Ca(CuO2)2', stability_charge=0.17486215687500017, stability_discharge=0.24047794214285645, id_charge=MPID(mp-504100), id_discharge=MPID(mp-1393403))]",231.8792179,831.5050577,1054.491524,3781.343768,3.58594041,CuO2,Ca(CuO2)2,mp-504100,mp-1393403,Cubic,227,-5.18445491,-0.519412017,0.0,1.39211537,Cubic,227,-5.754887166,-1.469764703,0.0,3.08259658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-20547_Ca,Ca0-0.5FeO2,FeO2,Ca,1,0.390693968,0.017802836,"[InsertionVoltagePairDoc(max_delta_volume=0.11066821365667456, average_voltage=4.502335843749999, capacity_grav=248.43145659330207, capacity_vol=1148.6487394293783, energy_grav=1118.521851735046, energy_vol=5171.602391411143, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='FeO2', formula_discharge='Ca(FeO2)2', stability_charge=0.390693967916663, stability_discharge=0.01780283625000667, id_charge=MPID(mp-1047285), id_discharge=MPID(mp-20547))]",248.4314566,1118.521852,1148.648739,5171.602391,4.502335844,FeO2,Ca(FeO2)2,mp-1047285,mp-20547,Orthorhombic,62,-7.153863233,-1.031886413,0.0,1.29818509,Orthorhombic,62,-7.704778709,-2.170855738,0.0,3.29692416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-540593_Ca,Ca0-0.5CrO2,CrO2,Ca,1,0.751348964,0.00504087,"[InsertionVoltagePairDoc(max_delta_volume=0.11160149042742917, average_voltage=5.5466400775, capacity_grav=257.6225744239511, capacity_vol=1182.712095830914, energy_grav=1428.9396961686136, energy_vol=6560.078310879769, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CrO2', formula_discharge='CaCr2O4', stability_charge=0.7513489637499831, stability_discharge=0.0050408696428529964, id_charge=MPID(mp-1047121), id_discharge=MPID(mp-540593))]",257.6225744,1428.939696,1182.712096,6560.078311,5.546640078,CrO2,CaCr2O4,mp-1047121,mp-540593,Orthorhombic,62,-7.812675058,-1.296351898,0.0,1.89686903,Orthorhombic,62,-8.567847198,-2.695913078,0.0,5.42719393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-505314_Ca,Ca1-2MnFeO5,MnFeO5,Ca,2,0.23382776,0.029976098,"[InsertionVoltagePairDoc(max_delta_volume=0.022311760178653772, average_voltage=4.081572304999997, capacity_grav=106.82262577211259, capacity_vol=405.7814566464643, energy_grav=436.0042708988337, energy_vol=1656.2263553307657, fracA_charge=0.125, fracA_discharge=0.17647058823529413, formula_charge='CaMnFeO5', formula_discharge='Ca3Mn2(FeO5)2', stability_charge=0.2338277599999996, stability_discharge=0.1354941917401966, id_charge=MPID(mp-1355282), id_discharge=MPID(mp-1358203)), InsertionVoltagePairDoc(max_delta_volume=0.06017039396798496, average_voltage=3.4128888875000056, capacity_grav=98.92179959061517, capacity_vol=382.7511680718732, energy_grav=337.60911055431313, energy_vol=1306.287208190143, fracA_charge=0.17647058823529413, fracA_discharge=0.2222222222222222, formula_charge='Ca3Mn2(FeO5)2', formula_discharge='Ca2MnFeO5', stability_charge=0.1354941917401966, stability_discharge=0.029976098333321488, id_charge=MPID(mp-1358203), id_discharge=MPID(mp-505314))]",197.8435992,741.3655881,765.5023361,2868.513775,3.747230596,CaMnFeO5,Ca2MnFeO5,mp-1355282,mp-505314,Orthorhombic,19,-7.44246526,-1.895286679,0.0,0.89685396,Orthorhombic,62,-7.671087017,-2.51741718,0.0,3.17591851,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1043356_Ca,Ca0-1Cr(GeO3)2,Cr(GeO3)2,Ca,1,0.102335436,0.061972483,"[InsertionVoltagePairDoc(max_delta_volume=0.13790060827798145, average_voltage=3.1721394137499983, capacity_grav=160.8006056409928, capacity_vol=685.4091358204281, energy_grav=510.08193890866363, energy_vol=2174.213334280306, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='Cr(GeO3)2', formula_discharge='CaCr(GeO3)2', stability_charge=0.10233543648148657, stability_discharge=0.06197248280834078, id_charge=MPID(mp-1341686), id_discharge=MPID(mp-1645095))]",160.8006056,510.0819389,685.4091358,2174.213334,3.172139414,Cr(GeO3)2,CaCr(GeO3)2,mp-1341686,mp-1645095,Monoclinic,15,-7.363487786,-1.964946762,0.6698,0.6819409,Triclinic,2,-7.462126878,-2.402879969,0.6904,3.68588757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-18843_Ca,Ca1.5-3FeRhO6,FeRhO6,Ca,1,0.193876514,0.01622516,"[InsertionVoltagePairDoc(max_delta_volume=0.03503717602237999, average_voltage=3.568452275000001, capacity_grav=214.42277042935166, capacity_vol=989.6665743866841, energy_grav=765.1574229504229, energy_vol=3531.577938861621, fracA_charge=0.15789473684210525, fracA_discharge=0.2727272727272727, formula_charge='Ca3Fe2(RhO6)2', formula_discharge='Ca3FeRhO6', stability_charge=0.19387651447368803, stability_discharge=0.01622516034091248, id_charge=MPID(mp-1347394), id_discharge=MPID(mp-18843))]",214.4227704,765.157423,989.6665744,3531.577939,3.568452275,Ca3Fe2(RhO6)2,Ca3FeRhO6,mp-1347394,mp-18843,Trigonal,155,-6.830772214,-1.722300406,0.0,1.3614155,Trigonal,167,-7.146008425,-2.460655517,1.0555,4.33380861,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
