battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-558694_Cs,Cs0-1FeF3,Cs0FeF3,Cs1FeF3,FeF3,Cs,1,0.011088769,0.313367817,"[InsertionVoltagePairDoc(max_delta_volume=0.34037065415146417, average_voltage=1.6870180079310364, capacity_grav=109.06186901437482, capacity_vol=555.1893587564043, energy_grav=183.98933700586625, energy_vol=936.6144460337387, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='FeF3', formula_discharge='CsFeF3', stability_charge=0.011088768749999645, stability_discharge=0.3133678172500103, id_charge=MPID(mp-558852), id_discharge=MPID(mp-558694))]",109.061869,183.989337,555.1893588,936.614446,1.687018008,mp-558852,mp-558694,Cubic,221,Cubic,221
mp-28344_Cs,Cs0-1Zr6CI14,Cs0Zr6CI14,Cs1Zr6CI14,Zr6CI14,Cs,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.008820811595353861, average_voltage=1.8720750829310395, capacity_grav=10.855536626996168, capacity_vol=55.365866757262914, energy_grav=20.32237963124479, energy_vol=103.64905960115185, fracA_charge=0.0, fracA_discharge=0.045454545454545456, formula_charge='Zr6CI14', formula_discharge='CsZr6CI14', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-28344), id_discharge=MPID(mp-582176))]",10.85553663,20.32237963,55.36586676,103.6490596,1.872075083,mp-28344,mp-582176,Orthorhombic,64,Orthorhombic,64
mp-542420_Cs,Cs0-2NiH12(SO7)2,Cs0NiH12(SO7)2,Cs2NiH12(SO7)2,NiH12(SO7)2,Cs,1,0.051400145,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.006007015778350944, average_voltage=5.13885194043103, capacity_grav=85.80301689895693, capacity_vol=241.06200674676685, energy_grav=440.92899988604125, energy_vol=1238.781961134821, fracA_charge=0.0, fracA_discharge=0.06451612903225806, formula_charge='NiH12(SO7)2', formula_discharge='Cs2NiH12(SO7)2', stability_charge=0.0514001446551724, stability_discharge=0.0, id_charge=MPID(mp-1101430), id_discharge=MPID(mp-542420))]",85.8030169,440.9289999,241.0620067,1238.781961,5.13885194,mp-1101430,mp-542420,Monoclinic,14,Monoclinic,14
mp-558110_Cs,Cs0-1TiS2,Cs0TiS2,Cs1TiS2,TiS2,Cs,1,0.00952151,0.176637142,"[InsertionVoltagePairDoc(max_delta_volume=0.10709330753673463, average_voltage=1.0948358979310333, capacity_grav=109.43737368667762, capacity_vol=463.7144285960572, energy_grav=119.81596528746772, energy_vol=507.6912028155403, fracA_charge=0.0, fracA_discharge=0.25, formula_charge='TiS2', formula_discharge='CsTiS2', stability_charge=0.0095215099999999, stability_discharge=0.176637141875001, id_charge=MPID(mp-558110), id_discharge=MPID(mp-1206827))]",109.4373737,119.8159653,463.7144286,507.6912028,1.094835898,mp-558110,mp-1206827,Trigonal,166,Trigonal,160
mp-553248_Cs,Cs0-1LaNb2O7,Cs0LaNb2O7,Cs1LaNb2O7,LaNb2O7,Cs,1,0.210991644,0.033167479,"[InsertionVoltagePairDoc(max_delta_volume=0.09340724786730736, average_voltage=5.298174927931036, capacity_grav=47.051552829559014, capacity_vol=247.68994435379858, energy_grav=249.2873575217922, energy_vol=1312.3046530759293, fracA_charge=0.0, fracA_discharge=0.09090909090909091, formula_charge='LaNb2O7', formula_discharge='CsLaNb2O7', stability_charge=0.21099164414285454, stability_discharge=0.0331674789772709, id_charge=MPID(mp-726245), id_discharge=MPID(mp-553248))]",47.05155283,249.2873575,247.6899444,1312.304653,5.298174928,mp-726245,mp-553248,Tetragonal,123,Tetragonal,123
mp-1238886_Cs,Cs0-0.5CrS2,Cs0CrS2,Cs0.5CrS2,CrS2,Cs,1,0.029461007,0.37904732,"[InsertionVoltagePairDoc(max_delta_volume=0.6372492152629596, average_voltage=0.14758777293103897, capacity_grav=73.39701360743658, capacity_vol=256.46104935695007, energy_grav=10.832501778110727, energy_vol=37.850515118149524, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CrS2', formula_discharge='Cs(CrS2)2', stability_charge=0.029461006666667622, stability_discharge=0.3790473203571416, id_charge=MPID(mp-1442954), id_discharge=MPID(mp-1238886))]",73.39701361,10.83250178,256.4610494,37.85051512,0.147587773,mp-1442954,mp-1238886,Trigonal,166,Cubic,227
mp-12627_Cs,Cs0-0.5Nb3S4,Cs0Nb3S4,Cs0.5Nb3S4,Nb3S4,Cs,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.03835591816009831, average_voltage=1.4088478879310378, capacity_grav=28.30553145338388, capacity_vol=155.3473333255851, energy_grav=39.87818820486544, energy_vol=218.8607624514695, fracA_charge=0.0, fracA_discharge=0.06666666666666667, formula_charge='Nb3S4', formula_discharge='Cs(Nb3S4)2', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-12627), id_discharge=MPID(mp-1229220))]",28.30553145,39.8781882,155.3473333,218.8607625,1.408847888,mp-12627,mp-1229220,Hexagonal,176,Trigonal,147
mp-32028_Cs,Cs0-1Mn(PO3)4,Cs0Mn(PO3)4,Cs1Mn(PO3)4,Mn(PO3)4,Cs,1,0.034900172,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.11535266244665632, average_voltage=5.7455025279310155, capacity_grav=53.205903140064635, capacity_vol=163.27172216764004, energy_grav=305.6946509920941, energy_vol=938.0780924538262, fracA_charge=0.0, fracA_discharge=0.05555555555555555, formula_charge='Mn(PO3)4', formula_discharge='CsMn(PO3)4', stability_charge=0.03490017166666881, stability_discharge=0.0, id_charge=MPID(mp-32028), id_discharge=MPID(mp-560117))]",53.20590314,305.694651,163.2717222,938.0780925,5.745502528,mp-32028,mp-560117,Monoclinic,4,Monoclinic,4
mp-799_Cs,Cs0-0.5V3S4,Cs0V3S4,Cs0.5V3S4,V3S4,Cs,1,0.0,0.022196263,"[InsertionVoltagePairDoc(max_delta_volume=0.06252422927186241, average_voltage=0.8756721479310337, capacity_grav=38.55915157304588, capacity_vol=179.9543470140465, energy_grav=33.765175080367385, energy_vol=157.58100957931669, fracA_charge=0.0, fracA_discharge=0.06666666666666667, formula_charge='V3S4', formula_discharge='Cs(V3S4)2', stability_charge=0.0, stability_discharge=0.02219626344444947, id_charge=MPID(mp-799), id_discharge=MPID(mp-1226432))]",38.55915157,33.76517508,179.954347,157.5810096,0.875672148,mp-799,mp-1226432,Hexagonal,176,Trigonal,147
mp-771134_Cs,Cs0-1CoPO4,Cs0CoPO4,Cs1CoPO4,CoPO4,Cs,1,0.018969655,0.000358299,"[InsertionVoltagePairDoc(max_delta_volume=0.12557145487100474, average_voltage=4.124137797931033, capacity_grav=93.44681257169296, capacity_vol=359.10944379712373, energy_grav=385.3875318230958, energy_vol=1481.016830757708, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CoPO4', formula_discharge='CsCoPO4', stability_charge=0.018969654791693102, stability_discharge=0.00035829874999393496, id_charge=MPID(mp-771134), id_discharge=MPID(mp-1203303))]",93.44681257,385.3875318,359.1094438,1481.016831,4.124137798,mp-771134,mp-1203303,Monoclinic,14,Monoclinic,14
mp-559450_Cs,Cs0-0.5FeF3,Cs0FeF3,Cs0.5FeF3,FeF3,Cs,1,0.011152017,0.044705688,"[InsertionVoltagePairDoc(max_delta_volume=0.043202815493447844, average_voltage=3.5460914329310347, capacity_grav=74.74215607867517, capacity_vol=296.3893146696316, energy_grav=265.04251934938424, energy_vol=1051.023609562281, fracA_charge=0.0, fracA_discharge=0.1111111111111111, formula_charge='FeF3', formula_discharge='CsFe2F6', stability_charge=0.011152016874999227, stability_discharge=0.044705688333332994, id_charge=MPID(mp-559450), id_discharge=MPID(mp-1105732))]",74.74215608,265.0425193,296.3893147,1051.02361,3.546091433,mp-559450,mp-1105732,Cubic,227,Cubic,227
mp-10033_Cs,Cs0-0.5NbS2,Cs0NbS2,Cs0.5NbS2,NbS2,Cs,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.37630171634653364, average_voltage=2.3258578479310392, capacity_grav=59.96149349525797, capacity_vol=249.2243490811805, energy_grav=139.4619102196117, energy_vol=579.6604082059686, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='NbS2', formula_discharge='Cs(NbS2)2', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-10033), id_discharge=MPID(mp-1229211))]",59.9614935,139.4619102,249.2243491,579.6604082,2.325857848,mp-10033,mp-1229211,Hexagonal,194,Orthorhombic,58
mp-1096944_Cs,Cs0-1NbO3,Cs0NbO3,Cs1NbO3,NbO3,Cs,1,0.188615307,0.251293347,"[InsertionVoltagePairDoc(max_delta_volume=0.14144851366294908, average_voltage=3.0510952479310367, capacity_grav=97.88348863401849, capacity_vol=613.3560104644597, energy_grav=298.65184702216544, energy_vol=1871.4076088180523, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='NbO3', formula_discharge='CsNbO3', stability_charge=0.18861530660714365, stability_discharge=0.2512933467500007, id_charge=MPID(mp-1220361), id_discharge=MPID(mp-1096944))]",97.88348863,298.651847,613.3560105,1871.407609,3.051095248,mp-1220361,mp-1096944,Tetragonal,99,Cubic,221
mp-610706_Cs,Cs2-3CoF6,Cs2CoF6,Cs3CoF6,CoF6,Cs,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.1814692045437003, average_voltage=4.366976767931042, capacity_grav=46.885246932702096, capacity_vol=203.2255182855464, energy_grav=204.74678411382018, energy_vol=887.4811170037262, fracA_charge=0.2222222222222222, fracA_discharge=0.3, formula_charge='Cs2CoF6', formula_discharge='Cs3CoF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-610706), id_discharge=MPID(mp-1206497))]",46.88524693,204.7467841,203.2255183,887.481117,4.366976768,mp-610706,mp-1206497,Cubic,225,Cubic,225
mp-1207560_Cs,Cs0-1Zr6MnCl14,Cs0Zr6MnCl14,Cs1Zr6MnCl14,Zr6MnCl14,Cs,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.005163916422471493, average_voltage=2.6815095129310498, capacity_grav=21.762760220383225, capacity_vol=75.67136268269569, energy_grav=58.35704855859505, energy_vol=202.91347889010413, fracA_charge=0.0, fracA_discharge=0.045454545454545456, formula_charge='Zr6MnCl14', formula_discharge='CsZr6MnCl14', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1207560), id_discharge=MPID(mp-1213469))]",21.76276022,58.35704856,75.67136268,202.9134789,2.681509513,mp-1207560,mp-1213469,Orthorhombic,64,Orthorhombic,64
mp-622048_Cs,Cs1.5-2Mo3P5O19,Cs1.5Mo3P5O19,Cs2Mo3P5O19,Mo3P5O19,Cs,1,0.0,0.006196312,"[InsertionVoltagePairDoc(max_delta_volume=0.05190361310347402, average_voltage=2.9068087879310474, capacity_grav=13.235452093651558, capacity_vol=47.56425610372922, energy_grav=38.472928458066725, energy_vol=138.26019763372307, fracA_charge=0.05263157894736842, fracA_discharge=0.06896551724137931, formula_charge='Cs3Mo6(P5O19)2', formula_discharge='Cs2Mo3P5O19', stability_charge=0.0, stability_discharge=0.0061963120861765475, id_charge=MPID(mp-622048), id_discharge=MPID(mp-1196773))]",13.23545209,38.47292846,47.5642561,138.2601976,2.906808788,mp-622048,mp-1196773,Triclinic,2,Monoclinic,11
