battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-1111695_K,K0-3CrF6,K0CrF6,K3CrF6,CrF6,K,2,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.25398353503351645, average_voltage=5.763446638000001, capacity_grav=219.51952479902542, capacity_vol=615.2551708758516, energy_grav=1265.189067178301, energy_vol=3545.9903460965434, fracA_charge=0.0, fracA_discharge=0.2222222222222222, formula_charge='CrF6', formula_discharge='K2CrF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1391848), id_discharge=MPID(mp-1211950)), InsertionVoltagePairDoc(max_delta_volume=0.22129641571523484, average_voltage=4.891730943, capacity_grav=94.61079805746714, capacity_vol=251.88609536511916, energy_grav=462.8105683996363, energy_vol=1232.1590068090022, fracA_charge=0.2222222222222222, fracA_discharge=0.3, formula_charge='K2CrF6', formula_discharge='K3CrF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1211950), id_discharge=MPID(mp-1111695))]",283.8323942,1553.37914,755.6582861,4135.623146,5.47287474,mp-1391848,mp-1111695,Trigonal,148,Cubic,225
mp-752629_K,K0-0.5CoO2,K0CoO2,K0.5CoO2,CoO2,K,1,0.007578857,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.23919097028398117, average_voltage=3.7996229529999965, capacity_grav=121.29436722150142, capacity_vol=502.0461426410895, energy_grav=460.8728617644272, energy_vol=1907.586047044194, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CoO2', formula_discharge='K(CoO2)2', stability_charge=0.007578856666667022, stability_discharge=0.0, id_charge=MPID(mp-1275937), id_discharge=MPID(mp-752629))]",121.2943672,460.8728618,502.0461426,1907.586047,3.799622953,mp-1275937,mp-752629,Hexagonal,194,Orthorhombic,59
mp-1238859_K,K0-0.5CrS2,K0CrS2,K0.5CrS2,CrS2,K,1,0.029461007,0.244307986,"[InsertionVoltagePairDoc(max_delta_volume=0.48409502600653775, average_voltage=1.1330844330000007, capacity_grav=98.77070853145246, capacity_vol=282.92706629105834, energy_grav=111.91555227336914, energy_vol=320.5802544887575, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CrS2', formula_discharge='K(CrS2)2', stability_charge=0.029461006666667622, stability_discharge=0.24430798571428625, id_charge=MPID(mp-1442954), id_discharge=MPID(mp-1238859))]",98.77070853,111.9155523,282.9270663,320.5802545,1.133084433,mp-1442954,mp-1238859,Trigonal,166,Cubic,227
mp-556365_K,K0-1CrF3,K0CrF3,K1CrF3,CrF3,K,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.534047008205504, average_voltage=2.5017918629999976, capacity_grav=180.98150989631543, capacity_vol=571.7711095751692, energy_grav=452.7780688120555, energy_vol=1430.4523094336384, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='CrF3', formula_discharge='KCrF3', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-560338), id_discharge=MPID(mp-556365))]",180.9815099,452.7780688,571.7711096,1430.452309,2.501791863,mp-560338,mp-556365,Trigonal,167,Monoclinic,12
mp-755263_K,K0-0.5CrS2,K0CrS2,K0.5CrS2,CrS2,K,1,0.0,0.021874616,"[InsertionVoltagePairDoc(max_delta_volume=0.38203213829551474, average_voltage=2.5133519829999997, capacity_grav=98.77070853145246, capacity_vol=280.58330356523226, energy_grav=248.24555614984104, energy_vol=705.2046024123674, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CrS2', formula_discharge='K(CrS2)2', stability_charge=0.0, stability_discharge=0.021874615714286172, id_charge=MPID(mp-755263), id_discharge=MPID(mp-1238894))]",98.77070853,248.2455561,280.5833036,705.2046024,2.513351983,mp-755263,mp-1238894,Trigonal,164,Monoclinic,10
mp-755542_K,K1-2TiPCO7,K1TiPCO7,K2TiPCO7,TiPCO7,K,1,0.031905859,0.112292984,"[InsertionVoltagePairDoc(max_delta_volume=0.06613572114222399, average_voltage=1.3728469229999904, capacity_grav=95.36405084471794, capacity_vol=234.44993853508637, energy_grav=130.92024376698566, energy_vol=321.8638767154302, fracA_charge=0.09090909090909091, fracA_discharge=0.16666666666666666, formula_charge='KTiPCO7', formula_discharge='K2TiPCO7', stability_charge=0.03190585920454758, stability_discharge=0.11229298375000152, id_charge=MPID(mp-772844), id_discharge=MPID(mp-755542))]",95.36405084,130.9202438,234.4499385,321.8638767,1.372846923,mp-772844,mp-755542,Monoclinic,4,Monoclinic,11
mp-568914_K,K0-2WCl6,K0WCl6,K2WCl6,WCl6,K,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.09972424864396534, average_voltage=3.0821357029999987, capacity_grav=112.90667281734137, capacity_vol=353.8697874696326, energy_grav=347.9936873972673, energy_vol=1090.6747061731762, fracA_charge=0.0, fracA_discharge=0.2222222222222222, formula_charge='WCl6', formula_discharge='K2WCl6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-571518), id_discharge=MPID(mp-568914))]",112.9066728,347.9936874,353.8697875,1090.674706,3.082135703,mp-571518,mp-568914,Trigonal,148,Cubic,225
mp-7564_K,K0-0.5Nb3Te4,K0Nb3Te4,K0.5Nb3Te4,Nb3Te4,K,1,0.0,0.027146402,"[InsertionVoltagePairDoc(max_delta_volume=0.01659165865521084, average_voltage=0.7247333930000013, capacity_grav=16.571368926413506, capacity_vol=117.45439981974944, energy_grav=12.009824428694449, energy_vol=85.12312570414575, fracA_charge=0.0, fracA_discharge=0.06666666666666667, formula_charge='Nb3Te4', formula_discharge='K(Nb3Te4)2', stability_charge=0.0, stability_discharge=0.02714640191666451, id_charge=MPID(mp-7564), id_discharge=MPID(mp-1224017))]",16.57136893,12.00982443,117.4543998,85.1231257,0.724733393,mp-7564,mp-1224017,Hexagonal,176,Trigonal,147
mp-18881_K,K0-0.25CrO2,K0CrO2,K0.25CrO2,CrO2,K,2,0.066267405,0.03287857,"[InsertionVoltagePairDoc(max_delta_volume=0.01297572668858682, average_voltage=4.928708723000021, capacity_grav=15.591354760544796, capacity_vol=59.98975467763462, energy_grav=76.84524621168504, energy_vol=295.6720271702891, fracA_charge=0.0, fracA_discharge=0.01639344262295082, formula_charge='CrO2', formula_discharge='KCr20O40', stability_charge=0.06626740499998363, stability_discharge=0.04993514901638463, id_charge=MPID(mp-1394584), id_discharge=MPID(mp-1224192)), InsertionVoltagePairDoc(max_delta_volume=0.0028425963870268856, average_voltage=3.978356285499995, capacity_grav=57.16461811344021, capacity_vol=239.27884552874647, energy_grav=227.42121777981174, energy_vol=951.9364990964709, fracA_charge=0.01639344262295082, fracA_discharge=0.07692307692307693, formula_charge='KCr20O40', formula_discharge='KCr4O8', stability_charge=0.04993514901638463, stability_discharge=0.03287857038461084, id_charge=MPID(mp-1224192), id_discharge=MPID(mp-18881))]",71.45577264,297.8581558,299.0985569,1246.770432,4.168426773,mp-1394584,mp-18881,Tetragonal,87,Tetragonal,87
mp-19335_K,K0-1Cr3O8,K0Cr3O8,K1Cr3O8,Cr3O8,K,1,0.049332349,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.1438685461162521, average_voltage=5.188686018000006, capacity_grav=82.95571321369353, capacity_vol=230.75632946476688, energy_grav=430.4311492651099, energy_vol=1197.3221402588385, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Cr3O8', formula_discharge='KCr3O8', stability_charge=0.0493323494545459, stability_discharge=0.0, id_charge=MPID(mp-545796), id_discharge=MPID(mp-19335))]",82.95571321,430.4311493,230.7563295,1197.32214,5.188686018,mp-545796,mp-19335,Monoclinic,12,Monoclinic,12
