battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-752954_Li,Li0-4CrCo3O8,Li0CrCo3O8,Li4CrCo3O8,CrCo3O8,Li,4,0.069316946,0.122768149,"[InsertionVoltagePairDoc(max_delta_volume=0.021289447850575183, average_voltage=4.607600038333335, capacity_grav=73.68471737187377, capacity_vol=315.3879898686799, energy_grav=339.50970658722656, energy_vol=1453.181714208803, fracA_charge=0.0, fracA_discharge=0.07692307692307693, formula_charge='CrCo3O8', formula_discharge='LiCrCo3O8', stability_charge=0.06931694625000784, stability_discharge=0.025765854134614408, id_charge=MPID(mp-753507), id_discharge=MPID(mp-758629)), InsertionVoltagePairDoc(max_delta_volume=0.002766559718839545, average_voltage=3.704439483333336, capacity_grav=72.30494117573204, capacity_vol=316.26052957725636, energy_grav=267.849278931476, energy_vol=1171.5679927858987, fracA_charge=0.07692307692307693, fracA_discharge=0.14285714285714285, formula_charge='LiCrCo3O8', formula_discharge='Li2CrCo3O8', stability_charge=0.025765854134614408, stability_discharge=0.042992751825396525, id_charge=MPID(mp-758629), id_discharge=MPID(mp-752954)), InsertionVoltagePairDoc(max_delta_volume=0.020254662030849913, average_voltage=3.2706186833333293, capacity_grav=70.97588889074852, capacity_vol=309.9819499454474, energy_grav=232.1350682722726, energy_vol=1013.8327569876772, fracA_charge=0.14285714285714285, fracA_discharge=0.2, formula_charge='Li2CrCo3O8', formula_discharge='Li3CrCo3O8', stability_charge=0.042992751825396525, stability_discharge=0.05007573345370897, id_charge=MPID(mp-752954), id_discharge=MPID(mp-759149)), InsertionVoltagePairDoc(max_delta_volume=0.005382005212495766, average_voltage=2.0405544183333335, capacity_grav=69.69481390247817, capacity_vol=308.322556340095, energy_grav=142.21606044362127, energy_vol=629.1489546116089, fracA_charge=0.2, fracA_discharge=0.25, formula_charge='Li3CrCo3O8', formula_discharge='Li4CrCo3O8', stability_charge=0.05007573345370897, stability_discharge=0.12276814874999875, id_charge=MPID(mp-759149), id_discharge=MPID(mp-756706))]",278.7792556,949.4672685,1233.290225,4200.343742,3.405803156,mp-753507,mp-756706,Trigonal,166,Trigonal,166
mp-2657_Li,Li0-0.75TiO2,Li0TiO2,Li0.75TiO2,TiO2,Li,1,0.037212773,0.127006447,"[InsertionVoltagePairDoc(max_delta_volume=0.11106615280384058, average_voltage=1.0266501766666634, capacity_grav=236.28476099263406, capacity_vol=934.5498350292401, energy_grav=242.58179161672808, energy_vol=959.4557532365704, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='TiO2', formula_discharge='Li3Ti4O8', stability_charge=0.03721277250000021, stability_discharge=0.1270064470000012, id_charge=MPID(mp-2657), id_discharge=MPID(mp-558256))]",236.284761,242.5817916,934.549835,959.4557532,1.026650177,mp-2657,mp-558256,Tetragonal,136,Monoclinic,3
mp-770576_Li,Li0-1FeH12(SO7)2,Li0FeH12(SO7)2,Li1FeH12(SO7)2,FeH12(SO7)2,Li,1,0.025084184,0.034287987,"[InsertionVoltagePairDoc(max_delta_volume=0.09771550025188103, average_voltage=4.103281043333344, capacity_grav=73.83269561212266, capacity_vol=143.48132458882654, energy_grav=302.9563002834239, energy_vol=588.7441992576903, fracA_charge=0.0, fracA_discharge=0.03333333333333333, formula_charge='FeH12(SO7)2', formula_discharge='LiFeH12(SO7)2', stability_charge=0.02508418366376297, stability_discharge=0.03428798670833544, id_charge=MPID(mp-770576), id_discharge=MPID(mp-780157))]",73.83269561,302.9563003,143.4813246,588.7441993,4.103281043,mp-770576,mp-780157,Monoclinic,14,Monoclinic,4
mp-757908_Li,Li0-1FeP2O7,Li0FeP2O7,Li1FeP2O7,FeP2O7,Li,1,0.110417407,0.043609397,"[InsertionVoltagePairDoc(max_delta_volume=0.09932590395633989, average_voltage=5.292931158333336, capacity_grav=113.21572119795302, capacity_vol=349.84154995627813, energy_grav=599.2430183418255, energy_vol=1851.687240243213, fracA_charge=0.0, fracA_discharge=0.09090909090909091, formula_charge='FeP2O7', formula_discharge='LiFeP2O7', stability_charge=0.11041740691666035, stability_discharge=0.043609396590909455, id_charge=MPID(mp-1048396), id_discharge=MPID(mp-757908))]",113.2157212,599.2430183,349.84155,1851.68724,5.292931158,mp-1048396,mp-757908,Monoclinic,14,Monoclinic,14
mp-1223180_Li,Li0-0.5LaCoSbPbO6,Li0LaCoSbPbO6,Li0.5LaCoSbPbO6,LaCoSbPbO6,Li,1,0.031080409,0.153997031,"[InsertionVoltagePairDoc(max_delta_volume=0.0638636901359535, average_voltage=-0.3036347516666591, capacity_grav=21.397856311454625, capacity_vol=156.31300181160697, energy_grav=-6.497132787327379, energy_vol=-47.462059487337314, fracA_charge=0.0, fracA_discharge=0.047619047619047616, formula_charge='LaCoSbPbO6', formula_discharge='LiLa2Co2Sb2(PbO6)2', stability_charge=0.031080408870547416, stability_discharge=0.15399703085056515, id_charge=MPID(mp-1223180), id_discharge=MPID(mp-1235261))]",21.39785631,-6.497132787,156.3130018,-47.46205949,-0.303634752,mp-1223180,mp-1235261,Monoclinic,7,Triclinic,1
mp-752522_Li,Li2-4Fe2P4H3O16,Li2Fe2P4H3O16,Li4Fe2P4H3O16,Fe2P4H3O16,Li,1,0.062010756,0.02142687,"[InsertionVoltagePairDoc(max_delta_volume=0.03655137997279079, average_voltage=4.275043868333332, capacity_grav=102.6162549598104, capacity_vol=289.6519202700169, energy_grav=438.6889915572673, energy_vol=1238.2746657013108, fracA_charge=0.07407407407407407, fracA_discharge=0.13793103448275862, formula_charge='Li2Fe2P4H3O16', formula_discharge='Li4Fe2P4H3O16', stability_charge=0.06201075578704174, stability_discharge=0.021426870258616226, id_charge=MPID(mp-752522), id_discharge=MPID(mp-1177422))]",102.616255,438.6889916,289.6519203,1238.274666,4.275043868,mp-752522,mp-1177422,Triclinic,1,Triclinic,1
mp-752633_Li,Li0-2Mn2CoO6,Li0Mn2CoO6,Li2Mn2CoO6,Mn2CoO6,Li,2,0.132325241,0.075873064,"[InsertionVoltagePairDoc(max_delta_volume=0.08598799425641057, average_voltage=4.335945943333319, capacity_grav=49.95128647994583, capacity_vol=197.3041093684238, energy_grav=216.58607797700157, energy_vol=855.4999526190106, fracA_charge=0.0, fracA_discharge=0.05263157894736842, formula_charge='Mn2CoO6', formula_discharge='LiMn4(CoO6)2', stability_charge=0.1323252405555584, stability_discharge=0.11715955539473999, id_charge=MPID(mp-752633), id_discharge=MPID(mp-1235264)), InsertionVoltagePairDoc(max_delta_volume=0.019680120834079995, average_voltage=3.78876959000001, capacity_grav=144.25546546143883, capacity_vol=580.4882492178997, energy_grav=546.5507207315962, energy_vol=2199.3362259891255, fracA_charge=0.05263157894736842, fracA_discharge=0.18181818181818182, formula_charge='LiMn4(CoO6)2', formula_discharge='Li2Mn2CoO6', stability_charge=0.11715955539473999, stability_discharge=0.07587306404958749, id_charge=MPID(mp-1235264), id_discharge=MPID(mp-754926))]",192.3406206,755.0453542,773.9843323,3038.324782,3.925563678,mp-752633,mp-754926,Orthorhombic,64,Orthorhombic,64
mp-673697_Li,Li0.1-0.45MnO2,Li0.1MnO2,Li0.45MnO2,MnO2,Li,1,0.035578557,0.005299897,"[InsertionVoltagePairDoc(max_delta_volume=0.04668830873762597, average_voltage=3.9489408890476185, capacity_grav=104.15820202318193, capacity_vol=419.02310258545026, energy_grav=411.3145828990255, energy_vol=1654.6974632552794, fracA_charge=0.03225806451612903, fracA_discharge=0.13043478260869565, formula_charge='LiMn10O20', formula_discharge='Li9Mn20O40', stability_charge=0.03557855665323295, stability_discharge=0.005299896757247069, id_charge=MPID(mp-766948), id_discharge=MPID(mp-690161))]",104.158202,411.3145829,419.0231026,1654.697463,3.948940889,mp-766948,mp-690161,Tetragonal,88,Triclinic,1
mp-781824_Li,Li5-8La4TiNb7O28,Li5La4TiNb7O28,Li8La4TiNb7O28,La4TiNb7O28,Li,1,0.046430411,0.031163729,"[InsertionVoltagePairDoc(max_delta_volume=0.006642077657857515, average_voltage=1.9413998599999946, capacity_grav=45.75336961835484, capacity_vol=226.03502292335745, energy_grav=88.82558537160209, energy_vol=438.82436185850173, fracA_charge=0.1111111111111111, fracA_discharge=0.16666666666666666, formula_charge='Li5La4TiNb7O28', formula_discharge='Li8La4TiNb7O28', stability_charge=0.046430410999995786, stability_discharge=0.031163729036466137, id_charge=MPID(mp-781824), id_discharge=MPID(mp-782001))]",45.75336962,88.82558537,226.0350229,438.8243619,1.94139986,mp-781824,mp-782001,Triclinic,1,Monoclinic,8
mp-26081_Li,Li3-4Mn(PO4)2,Li3Mn(PO4)2,Li4Mn(PO4)2,Mn(PO4)2,Li,1,0.030164154,0.010621524,"[InsertionVoltagePairDoc(max_delta_volume=0.023543212088019017, average_voltage=4.041787503333329, capacity_grav=98.30183518160179, capacity_vol=256.1619574303642, energy_grav=397.3151289917307, energy_vol=1035.3521983714504, fracA_charge=0.21428571428571427, fracA_discharge=0.26666666666666666, formula_charge='Li3Mn(PO4)2', formula_discharge='Li4Mn(PO4)2', stability_charge=0.030164153551561768, stability_discharge=0.010621523999994942, id_charge=MPID(mp-881278), id_discharge=MPID(mp-26081))]",98.30183518,397.315129,256.1619574,1035.352198,4.041787503,mp-881278,mp-26081,Monoclinic,4,Monoclinic,14
