battery_id,battery_formula,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,formula_charge,formula_discharge,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,charge_energy_per_atom,charge_formation_energy_per_atom,charge_band_gap,charge_efermi,discharge_crystal_system,discharge_space_group_number,discharge_energy_per_atom,discharge_formation_energy_per_atom,discharge_band_gap,discharge_efermi,charge_H,charge_Li,charge_Na,charge_K,charge_Rb,charge_Cs,charge_Fr,charge_Be,charge_Mg,charge_Ca,charge_Sr,charge_Ba,charge_Ra,charge_Sc,charge_Y,charge_La-Lu,charge_Ac-Lr,charge_La,charge_Ac,charge_Ti,charge_Zr,charge_Hf,charge_Rf,charge_Ce,charge_Th,charge_V,charge_Nb,charge_Ta,charge_Db,charge_Pr,charge_Pa,charge_Cr,charge_Mo,charge_W,charge_Sg,charge_Nd,charge_U,charge_Mn,charge_Tc,charge_Re,charge_Bh,charge_Pm,charge_Np,charge_Fe,charge_Ru,charge_Os,charge_Hs,charge_Sm,charge_Pu,charge_Co,charge_Rh,charge_Ir,charge_Mt,charge_Eu,charge_Am,charge_Ni,charge_Pd,charge_Pt,charge_Ds,charge_Gd,charge_Cm,charge_Cu,charge_Ag,charge_Au,charge_Rg,charge_Tb,charge_Bk,charge_Zn,charge_Cd,charge_Hg,charge_Cn,charge_Dy,charge_Cf,charge_B,charge_Al,charge_Ga,charge_In,charge_Tl,charge_Nh,charge_Ho,charge_Es,charge_C,charge_Si,charge_Ge,charge_Sn,charge_Pb,charge_Fl,charge_Er,charge_Fm,charge_N,charge_P,charge_As,charge_Sb,charge_Bi,charge_Mc,charge_Tm,charge_Md,charge_O,charge_S,charge_Se,charge_Te,charge_Po,charge_Lv,charge_Yb,charge_No,charge_F,charge_Cl,charge_Br,charge_I,charge_At,charge_Ts,charge_Lu,charge_Lr,charge_He,charge_Ne,charge_Ar,charge_Kr,charge_Xe,charge_Rn,charge_Og,discharge_H,discharge_Li,discharge_Na,discharge_K,discharge_Rb,discharge_Cs,discharge_Fr,discharge_Be,discharge_Mg,discharge_Ca,discharge_Sr,discharge_Ba,discharge_Ra,discharge_Sc,discharge_Y,discharge_La-Lu,discharge_Ac-Lr,discharge_La,discharge_Ac,discharge_Ti,discharge_Zr,discharge_Hf,discharge_Rf,discharge_Ce,discharge_Th,discharge_V,discharge_Nb,discharge_Ta,discharge_Db,discharge_Pr,discharge_Pa,discharge_Cr,discharge_Mo,discharge_W,discharge_Sg,discharge_Nd,discharge_U,discharge_Mn,discharge_Tc,discharge_Re,discharge_Bh,discharge_Pm,discharge_Np,discharge_Fe,discharge_Ru,discharge_Os,discharge_Hs,discharge_Sm,discharge_Pu,discharge_Co,discharge_Rh,discharge_Ir,discharge_Mt,discharge_Eu,discharge_Am,discharge_Ni,discharge_Pd,discharge_Pt,discharge_Ds,discharge_Gd,discharge_Cm,discharge_Cu,discharge_Ag,discharge_Au,discharge_Rg,discharge_Tb,discharge_Bk,discharge_Zn,discharge_Cd,discharge_Hg,discharge_Cn,discharge_Dy,discharge_Cf,discharge_B,discharge_Al,discharge_Ga,discharge_In,discharge_Tl,discharge_Nh,discharge_Ho,discharge_Es,discharge_C,discharge_Si,discharge_Ge,discharge_Sn,discharge_Pb,discharge_Fl,discharge_Er,discharge_Fm,discharge_N,discharge_P,discharge_As,discharge_Sb,discharge_Bi,discharge_Mc,discharge_Tm,discharge_Md,discharge_O,discharge_S,discharge_Se,discharge_Te,discharge_Po,discharge_Lv,discharge_Yb,discharge_No,discharge_F,discharge_Cl,discharge_Br,discharge_I,discharge_At,discharge_Ts,discharge_Lu,discharge_Lr,discharge_He,discharge_Ne,discharge_Ar,discharge_Kr,discharge_Xe,discharge_Rn,discharge_Og
mp-1045734_Mg,Mg0.5-1VO3,VO3,Mg,1,0.098049028,0.092816537,"[InsertionVoltagePairDoc(max_delta_volume=0.018005997772604143, average_voltage=2.4667008575000056, capacity_grav=217.46558793492858, capacity_vol=893.7723981729218, energy_grav=536.4225522358312, energy_vol=2204.6691409829828, fracA_charge=0.1111111111111111, fracA_discharge=0.2, formula_charge='MgV2O6', formula_discharge='MgVO3', stability_charge=0.0980490277777788, stability_discharge=0.09281653749999919, id_charge=MPID(mp-1045734), id_discharge=MPID(mp-1370061))]",217.4655879,536.4225522,893.7723982,2204.669141,2.466700858,MgV2O6,MgVO3,mp-1045734,mp-1370061,Monoclinic,4,-7.927103422,-2.432008064,1.722,1.94368238,Orthorhombic,62,-7.787761257,-2.68214743,0.6976,4.92093497,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1233015_Mg,Mg0-0.25YBiO3,YBiO3,Mg,1,0.165734728,0.30679794,"[InsertionVoltagePairDoc(max_delta_volume=0.06528889401465965, average_voltage=0.1212295099999966, capacity_grav=38.074536653330746, capacity_vol=266.25800721210015, energy_grav=4.615757421960197, energy_vol=32.27832774789846, fracA_charge=0.0, fracA_discharge=0.047619047619047616, formula_charge='YBiO3', formula_discharge='Y4Mg(BiO3)4', stability_charge=0.16573472787499988, stability_discharge=0.30679793988095394, id_charge=MPID(mp-1369528), id_discharge=MPID(mp-1233132))]",38.07453665,4.615757422,266.2580072,32.27832775,0.12122951,YBiO3,Y4Mg(BiO3)4,mp-1369528,mp-1233132,Orthorhombic,62,-7.680666606,-2.640588918,1.6856,6.78360569,Monoclinic,6,-7.402670057,-2.526392257,1.3918,4.79635938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1043121_Mg,Mg0-1Mn4(CuO4)3,Mn4(CuO4)3,Mg,1,0.046869738,0.08221267,"[InsertionVoltagePairDoc(max_delta_volume=0.03726367872645797, average_voltage=2.6834920150000032, capacity_grav=85.5337328964372, capacity_vol=447.0834963857405, energy_grav=229.52908924073233, energy_vol=1199.7449925894175, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Mn4(CuO4)3', formula_discharge='MgMn4(CuO4)3', stability_charge=0.0468697376754319, stability_discharge=0.08221267024999968, id_charge=MPID(mp-1275750), id_discharge=MPID(mp-1043121))]",85.5337329,229.5290892,447.0834964,1199.744993,2.683492015,Mn4(CuO4)3,MgMn4(CuO4)3,mp-1275750,mp-1043121,Cubic,204,-7.113715947,-1.412599461,0.0,3.28420834,Cubic,204,-7.106393354,-1.61031869,0.0,4.15966204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-25375_Mg,Mg0-0.25WO2,WO2,Mg,1,0.269006685,0.397933857,"[InsertionVoltagePairDoc(max_delta_volume=0.045489546810500325, average_voltage=0.6202012449999944, capacity_grav=60.38680374621706, capacity_vol=498.47891038108696, energy_grav=37.45197086497415, energy_vol=309.15724082459076, fracA_charge=0.0, fracA_discharge=0.07692307692307693, formula_charge='WO2', formula_discharge='Mg(WO2)4', stability_charge=0.2690066850000008, stability_discharge=0.39793385692308014, id_charge=MPID(mp-25375), id_discharge=MPID(mp-1044214))]",60.38680375,37.45197086,498.4789104,309.1572408,0.620201245,WO2,Mg(WO2)4,mp-25375,mp-1044214,Trigonal,166,-9.385451813,-1.767435653,0.0,2.75448867,Trigonal,166,-8.882008023,-1.726894641,0.0,4.39821371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1326573_Mg,Mg0-2Cr2O5,Cr2O5,Mg,1,0.281425309,1.783123252,"[InsertionVoltagePairDoc(max_delta_volume=0.0659283137083948, average_voltage=2.6233659874999984, capacity_grav=460.9040984726326, capacity_vol=1771.7582226513855, energy_grav=1209.1201354324544, energy_vol=4647.9702593770935, fracA_charge=0.0, fracA_discharge=0.2222222222222222, formula_charge='Cr2O5', formula_discharge='Mg2Cr2O5', stability_charge=0.2814253087142866, stability_discharge=1.7831232516666669, id_charge=MPID(mp-1402326), id_discharge=MPID(mp-1326573))]",460.9040985,1209.120135,1771.758223,4647.970259,2.623365987,Cr2O5,Mg2Cr2O5,mp-1402326,mp-1326573,Orthorhombic,55,-7.790705043,-1.498433619,0.0,1.14097001,Orthorhombic,55,-7.580995483,-2.331388809,0.5762,3.9218107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1041465_Mg,Mg0-1Mo3P3O13,Mo3P3O13,Mg,1,0.038847272,0.041062569,"[InsertionVoltagePairDoc(max_delta_volume=0.015113014926781743, average_voltage=1.8927016524999987, capacity_grav=87.43816826326916, capacity_vol=328.7186768760989, energy_grav=165.49436556346248, energy_vol=622.1663829310055, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Mo3P3O13', formula_discharge='MgMo3P3O13', stability_charge=0.03884727223685047, stability_discharge=0.0410625691666624, id_charge=MPID(mp-1047920), id_discharge=MPID(mp-1041465))]",87.43816826,165.4943656,328.7186769,622.1663829,1.892701652,Mo3P3O13,MgMo3P3O13,mp-1047920,mp-1041465,Monoclinic,11,-8.303309432,-2.350660502,0.0,2.79611356,Monoclinic,11,-8.157428128,-2.422397642,1.4069,3.93759514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1040938_Mg,Mg0-0.5CoO2,CoO2,Mg,1,0.083427536,0.09696872,"[InsertionVoltagePairDoc(max_delta_volume=0.1648062027004631, average_voltage=3.132688951666666, capacity_grav=259.99527033977216, capacity_vol=1181.3424150093024, energy_grav=814.4843108789922, energy_vol=3700.7783316348587, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CoO2', formula_discharge='Mg(CoO2)2', stability_charge=0.08342753555555582, stability_discharge=0.09696871999999956, id_charge=MPID(mp-1359404), id_discharge=MPID(mp-1040938))]",259.9952703,814.4843109,1181.342415,3700.778332,3.132688952,CoO2,Mg(CoO2)2,mp-1359404,mp-1040938,Trigonal,156,-6.665451368,-0.997371433,0.0,1.0199496,Trigonal,156,-6.836909451,-1.749943786,0.0,2.83383024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1233072_Mg,Mg0-0.5CuN,CuN,Mg,1,1.329271773,0.514371747,"[InsertionVoltagePairDoc(max_delta_volume=0.1088299666029584, average_voltage=2.118881545, capacity_grav=298.772882122373, capacity_vol=1301.8810947130942, energy_grav=633.0643460755565, energy_vol=2758.531825371972, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='CuN', formula_discharge='Mg(CuN)2', stability_charge=1.3292717725000003, stability_discharge=0.5143717469166669, id_charge=MPID(mp-1425089), id_discharge=MPID(mp-1233072))]",298.7728821,633.0643461,1301.881095,2758.531825,2.118881545,CuN,Mg(CuN)2,mp-1425089,mp-1233072,Orthorhombic,40,-4.888579025,1.329271773,0.0,1.58880291,Tetragonal,115,-5.078471848,0.2158648,0.0,3.11385608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1042695_Mg,Mg0-2Cr3O8,Cr3O8,Mg,1,0.376787126,1.433053735,"[InsertionVoltagePairDoc(max_delta_volume=0.05763358848361477, average_voltage=4.06640517, capacity_grav=322.3331922645979, capacity_vol=1261.4871502547699, energy_grav=1310.7373594873652, energy_vol=5129.717869684563, fracA_charge=0.0, fracA_discharge=0.15384615384615385, formula_charge='Cr3O8', formula_discharge='Mg2Cr3O8', stability_charge=0.37678712581818186, stability_discharge=1.4330537353846147, id_charge=MPID(mp-1043013), id_discharge=MPID(mp-1042695))]",322.3331923,1310.737359,1261.48715,5129.71787,4.06640517,Cr3O8,Mg2Cr3O8,mp-1043013,mp-1042695,Hexagonal,186,-7.553335528,-1.322169124,0.0,-0.60100011,Hexagonal,186,-7.88868243,-2.36996008,0.8362,2.56688368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1043372_Mg,Mg0-1Ti(Si2O5)2,Ti(Si2O5)2,Mg,1,0.178926419,0.166366398,"[InsertionVoltagePairDoc(max_delta_volume=0.021852678116460522, average_voltage=0.8903079149999985, capacity_grav=155.59279404463112, capacity_vol=440.2613038174855, energy_grav=138.52549605489972, energy_vol=391.9681234569264, fracA_charge=0.0, fracA_discharge=0.0625, formula_charge='Ti(Si2O5)2', formula_discharge='MgTi(Si2O5)2', stability_charge=0.17892641933332776, stability_discharge=0.16636639752232085, id_charge=MPID(mp-1043406), id_discharge=MPID(mp-1043372))]",155.592794,138.5254961,440.2613038,391.9681235,0.890307915,Ti(Si2O5)2,MgTi(Si2O5)2,mp-1043406,mp-1043372,Tetragonal,130,-8.406900013,-3.135142803,2.2489,0.63854298,Tetragonal,130,-8.092774755,-3.050484867,0.0,6.04209003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
