battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-19470_Na,Na0-4Ni7(PO4)6,Na0Ni7(PO4)6,Na4Ni7(PO4)6,Ni7(PO4)6,Na,1,0.059097808,0.008354527,"[InsertionVoltagePairDoc(max_delta_volume=0.0007451242471774311, average_voltage=4.37764028905173, capacity_grav=99.94575973892462, capacity_vol=374.26744502370525, energy_grav=437.5265845530007, energy_vol=1638.4082462162253, fracA_charge=0.0, fracA_discharge=0.0975609756097561, formula_charge='Ni7(PO4)6', formula_discharge='Na4Ni7(PO4)6', stability_charge=0.059097808108111494, stability_discharge=0.008354526829268849, id_charge=MPID(mp-32385), id_discharge=MPID(mp-19470))]",99.94575974,437.5265846,374.267445,1638.408246,4.377640289,mp-32385,mp-19470,Monoclinic,12,Monoclinic,8
mp-1013874_Na,Na0-1Ti3P3O13,Na0Ti3P3O13,Na1Ti3P3O13,Ti3P3O13,Na,1,0.031923137,0.055544727,"[InsertionVoltagePairDoc(max_delta_volume=0.0032635241289875605, average_voltage=2.085293196551735, capacity_grav=57.32884961509454, capacity_vol=174.92259976302688, energy_grav=119.54746006849419, energy_vol=364.7649072089821, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Ti3P3O13', formula_discharge='NaTi3P3O13', stability_charge=0.03192313711404182, stability_discharge=0.05554472728332627, id_charge=MPID(mp-1041196), id_discharge=MPID(mp-1013874))]",57.32884962,119.5474601,174.9225998,364.7649072,2.085293197,mp-1041196,mp-1013874,Monoclinic,11,Monoclinic,11
mp-560778_Na,Na0-1.29V2O5,Na0V2O5,Na1.29V2O5,V2O5,Na,1,0.025970107,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.0612963145217964, average_voltage=3.2396567337739404, capacity_grav=162.97450034225784, capacity_vol=501.88299242424404, energy_grav=527.981437467239, energy_vol=1625.9286159738176, fracA_charge=0.0, fracA_discharge=0.15517241379310345, formula_charge='V2O5', formula_discharge='Na9V14O35', stability_charge=0.025970106530612824, stability_discharge=0.0, id_charge=MPID(mp-831269), id_discharge=MPID(mp-560778))]",162.9745003,527.9814375,501.8829924,1625.928616,3.239656734,mp-831269,mp-560778,Monoclinic,13,Monoclinic,13
mp-21966_Na,Na0-1Ni4(PO4)3,Na0Ni4(PO4)3,Na1Ni4(PO4)3,Ni4(PO4)3,Na,1,0.051322082,0.016282597,"[InsertionVoltagePairDoc(max_delta_volume=0.008492630788864197, average_voltage=4.56608707905173, capacity_grav=49.38749690925596, capacity_vol=187.5047765073038, energy_grav=225.5076115040609, energy_vol=856.1631372704823, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Ni4(PO4)3', formula_discharge='NaNi4(PO4)3', stability_charge=0.051322082105261124, stability_discharge=0.016282597250006248, id_charge=MPID(mp-777879), id_discharge=MPID(mp-21966))]",49.38749691,225.5076115,187.5047765,856.1631373,4.566087079,mp-777879,mp-21966,Orthorhombic,58,Orthorhombic,58
mp-25378_Na,Na0-1CuO2,Na0CuO2,Na1CuO2,CuO2,Na,1,0.16449661,0.123998441,"[InsertionVoltagePairDoc(max_delta_volume=0.23135267252735447, average_voltage=3.3331517865517224, capacity_grav=226.10687589418717, capacity_vol=1055.1092340804075, energy_grav=753.6485373383385, energy_vol=3516.8392285823297, fracA_charge=0.0, fracA_discharge=0.25, formula_charge='CuO2', formula_discharge='NaCuO2', stability_charge=0.1644966102083334, stability_discharge=0.12399844124999948, id_charge=MPID(mp-25378), id_discharge=MPID(mp-578606))]",226.1068759,753.6485373,1055.109234,3516.839229,3.333151787,mp-25378,mp-578606,Trigonal,166,Trigonal,166
mp-770948_Na,Na1-3CoPCO7,Na1CoPCO7,Na3CoPCO7,CoPCO7,Na,2,0.053781944,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.029576922250909465, average_voltage=4.016592501551731, capacity_grav=103.12506148006742, capacity_vol=292.6832689282639, energy_grav=414.21134866290004, energy_vol=1175.5894233069134, fracA_charge=0.09090909090909091, fracA_discharge=0.16666666666666666, formula_charge='NaCoPCO7', formula_discharge='Na2CoPCO7', stability_charge=0.05378194374999623, stability_discharge=0.02732475322916006, id_charge=MPID(mp-1101670), id_discharge=MPID(mp-770988)), InsertionVoltagePairDoc(max_delta_volume=0.03617037218118413, average_voltage=3.8302186090517303, capacity_grav=94.74412893455332, capacity_vol=282.4663557134458, energy_grav=362.8907257435226, energy_vol=1081.9078920846657, fracA_charge=0.16666666666666666, fracA_discharge=0.23076923076923078, formula_charge='Na2CoPCO7', formula_discharge='Na3CoPCO7', stability_charge=0.02732475322916006, stability_discharge=0.0, id_charge=MPID(mp-770988), id_discharge=MPID(mp-770948))]",189.4882579,743.4392836,564.9327114,2216.460138,3.923405555,mp-1101670,mp-770948,Monoclinic,4,Monoclinic,11
mp-1094113_Na,Na0-1V2P2O9,Na0V2P2O9,Na1V2P2O9,V2P2O9,Na,1,0.035604401,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.027417805124064776, average_voltage=4.149546079051721, capacity_grav=81.0165494051057, capacity_vol=255.48307387418805, energy_grav=336.1819049222564, energy_vol=1060.138787458718, fracA_charge=0.0, fracA_discharge=0.07142857142857142, formula_charge='V2P2O9', formula_discharge='NaV2P2O9', stability_charge=0.03560440134616272, stability_discharge=0.0, id_charge=MPID(mp-1350503), id_discharge=MPID(mp-1094113))]",81.01654941,336.1819049,255.4830739,1060.138787,4.149546079,mp-1350503,mp-1094113,Orthorhombic,62,Orthorhombic,62
mp-772859_Na,Na0-2Ti3Fe(PO4)6,Na0Ti3Fe(PO4)6,Na2Ti3Fe(PO4)6,Ti3Fe(PO4)6,Na,1,0.036345302,0.055681848,"[InsertionVoltagePairDoc(max_delta_volume=0.02184521369636383, average_voltage=4.139383741551686, capacity_grav=65.75003780590923, capacity_vol=189.95170155002683, energy_grav=272.1646375001894, energy_vol=786.2829850762593, fracA_charge=0.0, fracA_discharge=0.05555555555555555, formula_charge='Ti3Fe(PO4)6', formula_discharge='Na2Ti3Fe(PO4)6', stability_charge=0.036345302365194954, stability_discharge=0.05568184763888606, id_charge=MPID(mp-775436), id_discharge=MPID(mp-772859))]",65.75003781,272.1646375,189.9517016,786.2829851,4.139383742,mp-775436,mp-772859,Trigonal,146,Trigonal,146
mp-190_Na,Na0-1ReO3,Na0ReO3,Na1ReO3,ReO3,Na,1,0.0,0.041788257,"[InsertionVoltagePairDoc(max_delta_volume=0.07388951158695267, average_voltage=1.844006056551724, capacity_grav=104.20686384493769, capacity_vol=757.4578672166982, energy_grav=192.15808806432597, energy_vol=1396.756894730343, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='ReO3', formula_discharge='NaReO3', stability_charge=0.0, stability_discharge=0.04178825710000034, id_charge=MPID(mp-190), id_discharge=MPID(mp-976923))]",104.2068638,192.1580881,757.4578672,1396.756895,1.844006057,mp-190,mp-976923,Cubic,221,Cubic,221
mp-10224_Na,Na0-1VS2,Na0VS2,Na1VS2,VS2,Na,1,0.018495837,0.017107854,"[InsertionVoltagePairDoc(max_delta_volume=0.2838171039425621, average_voltage=1.517373236551727, capacity_grav=194.12744272985213, capacity_vol=610.3613312704434, energy_grav=294.56378607850576, energy_vol=926.1459486958536, fracA_charge=0.0, fracA_discharge=0.25, formula_charge='VS2', formula_discharge='NaVS2', stability_charge=0.01849583666666721, stability_discharge=0.01710785392854408, id_charge=MPID(mp-1013526), id_discharge=MPID(mp-10224))]",194.1274427,294.5637861,610.3613313,926.1459487,1.517373237,mp-1013526,mp-10224,Trigonal,166,Trigonal,166
mp-761085_Na,Na0-9Mn21O40,Na0Mn21O40,Na9Mn21O40,Mn21O40,Na,1,0.04366786,0.031911896,"[InsertionVoltagePairDoc(max_delta_volume=0.13881240436383813, average_voltage=3.042780834329509, capacity_grav=120.57152648054058, capacity_vol=488.38187129985323, energy_grav=366.8727299408418, energy_vol=1486.0389978251744, fracA_charge=0.0, fracA_discharge=0.12857142857142856, formula_charge='Mn21O40', formula_discharge='Na9Mn21O40', stability_charge=0.04366786043032178, stability_discharge=0.03191189623214097, id_charge=MPID(mp-849596), id_discharge=MPID(mp-761085))]",120.5715265,366.8727299,488.3818713,1486.038998,3.042780834,mp-849596,mp-761085,Monoclinic,5,Monoclinic,5
mp-683773_Na,Na0-1CoPO4,Na0CoPO4,Na1CoPO4,CoPO4,Na,1,0.024707508,0.038437672,"[InsertionVoltagePairDoc(max_delta_volume=0.05019459441281948, average_voltage=3.762495864468388, capacity_grav=151.51125369018754, capacity_vol=485.96047767018075, energy_grav=570.0604654297514, energy_vol=1828.4242875291375, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CoPO4', formula_discharge='NaCoPO4', stability_charge=0.02470750819447254, stability_discharge=0.038437671964286935, id_charge=MPID(mp-850025), id_discharge=MPID(mp-683773))]",151.5112537,570.0604654,485.9604777,1828.424288,3.762495864,mp-850025,mp-683773,Hexagonal,170,Hexagonal,170
mp-17242_Na,Na0-0.5Nb2(PO4)3,Na0Nb2(PO4)3,Na0.5Nb2(PO4)3,Nb2(PO4)3,Na,1,0.0,0.013377158,"[InsertionVoltagePairDoc(max_delta_volume=0.0031486083296878853, average_voltage=1.6321334365517297, capacity_grav=27.78958251196314, capacity_vol=87.48536932658367, energy_grav=45.35630680558825, energy_vol=142.78779648699427, fracA_charge=0.0, fracA_discharge=0.02857142857142857, formula_charge='Nb2(PO4)3', formula_discharge='NaNb4(PO4)6', stability_charge=0.0, stability_discharge=0.013377158187052984, id_charge=MPID(mp-17242), id_discharge=MPID(mp-1221022))]",27.78958251,45.35630681,87.48536933,142.7877965,1.632133437,mp-17242,mp-1221022,Trigonal,167,Trigonal,148
mp-21590_Na,Na2-6Fe2C4SO16,Na2Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,Na,2,0.083436778,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.00569047552716917, average_voltage=4.493505721551717, capacity_grav=99.31122316493025, capacity_vol=261.78309339541073, energy_grav=446.2555495059135, energy_vol=1176.3238279777856, fracA_charge=0.08, fracA_discharge=0.14814814814814814, formula_charge='Na2Fe2C4SO16', formula_discharge='Na4Fe2C4SO16', stability_charge=0.08343677840000119, stability_discharge=0.00987739274691446, id_charge=MPID(mp-771992), id_discharge=MPID(mp-778206)), InsertionVoltagePairDoc(max_delta_volume=0.03442831161301152, average_voltage=3.3146709540517243, capacity_grav=91.51529493915586, capacity_vol=253.0703099059667, energy_grav=303.3430899862967, energy_vol=838.8448055781762, fracA_charge=0.14814814814814814, fracA_discharge=0.20689655172413793, formula_charge='Na4Fe2C4SO16', formula_discharge='Na6Fe2C4SO16', stability_charge=0.00987739274691446, stability_discharge=0.0, id_charge=MPID(mp-778206), id_discharge=MPID(mp-21590))]",183.0305899,714.5675914,506.1406198,1976.017691,3.904088338,mp-771992,mp-21590,Orthorhombic,70,Cubic,203
mp-16381_Na,Na0-1Mn6P7O24,Na0Mn6P7O24,Na1Mn6P7O24,Mn6P7O24,Na,1,0.003451735,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.02213428090475622, average_voltage=3.74722532655176, capacity_grav=28.110887013579315, capacity_vol=95.21962744243122, energy_grav=105.33782776911939, energy_vol=356.8093995371013, fracA_charge=0.0, fracA_discharge=0.02631578947368421, formula_charge='Mn6P7O24', formula_discharge='NaMn6P7O24', stability_charge=0.0034517354052301386, stability_discharge=0.0, id_charge=MPID(mp-504168), id_discharge=MPID(mp-16381))]",28.11088701,105.3378278,95.21962744,356.8093995,3.747225327,mp-504168,mp-16381,Monoclinic,11,Monoclinic,11
mp-504778_Na,Na1-3MoF6,Na1MoF6,Na3MoF6,MoF6,Na,1,0.0,0.060759399,"[InsertionVoltagePairDoc(max_delta_volume=0.00454519301177414, average_voltage=3.062632396551724, capacity_grav=192.19438778095326, capacity_vol=580.1327855035025, energy_grav=588.6207584533723, energy_vol=1776.7334631848194, fracA_charge=0.125, fracA_discharge=0.3, formula_charge='NaMoF6', formula_discharge='Na3MoF6', stability_charge=0.0, stability_discharge=0.06075939949999931, id_charge=MPID(mp-504778), id_discharge=MPID(mp-1110567))]",192.1943878,588.6207585,580.1327855,1776.733463,3.062632397,mp-504778,mp-1110567,Cubic,225,Cubic,225
mp-769532_Na,Na4-6V2C4SO16,Na4V2C4SO16,Na6V2C4SO16,V2C4SO16,Na,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.023353186019034577, average_voltage=2.3082629565517188, capacity_grav=93.07365510151392, capacity_vol=251.1025302170486, energy_grav=214.83847030169548, energy_vol=579.6106687964219, fracA_charge=0.14814814814814814, fracA_discharge=0.20689655172413793, formula_charge='Na4V2C4SO16', formula_discharge='Na6V2C4SO16', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-850995), id_discharge=MPID(mp-850796))]",93.0736551,214.8384703,251.1025302,579.6106688,2.308262957,mp-850995,mp-850796,Orthorhombic,70,Cubic,203
mp-776196_Na,Na4-6Ni2C4SO16,Na4Ni2C4SO16,Na6Ni2C4SO16,Ni2C4SO16,Na,1,0.046667437,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.017240021820524865, average_voltage=4.299877699051724, capacity_grav=90.63378747413866, capacity_vol=265.27061268708474, energy_grav=389.71420154064225, energy_vol=1140.631191706983, fracA_charge=0.14814814814814814, fracA_discharge=0.20689655172413793, formula_charge='Na4Ni2C4SO16', formula_discharge='Na6Ni2C4SO16', stability_charge=0.046667437314811266, stability_discharge=0.0, id_charge=MPID(mp-850975), id_discharge=MPID(mp-776196))]",90.63378747,389.7142015,265.2706127,1140.631192,4.299877699,mp-850975,mp-776196,Orthorhombic,70,Cubic,203
mp-7469_Na,Na0-1CuO,Na0CuO,Na1CuO,CuO,Na,1,0.589408155,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.3128454708548818, average_voltage=2.9905996865517253, capacity_grav=261.3881786470279, capacity_vol=957.7380818069473, energy_grav=781.7074051301281, energy_vol=2864.2112072505074, fracA_charge=0.0, fracA_discharge=0.3333333333333333, formula_charge='CuO', formula_discharge='NaCuO', stability_charge=0.5894081550000001, stability_discharge=0.0, id_charge=MPID(mp-25229), id_discharge=MPID(mp-7469))]",261.3881786,781.7074051,957.7380818,2864.211207,2.990599687,mp-25229,mp-7469,Tetragonal,139,Tetragonal,139
