battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-10033_Rb,Rb0-0.5NbS2,Rb0NbS2,Rb0.5NbS2,NbS2,Rb,1,0.0,0.100284027,"[InsertionVoltagePairDoc(max_delta_volume=0.12010341366245947, average_voltage=1.3009464174999998, capacity_grav=67.08075181494438, capacity_vol=306.2287778181354, energy_grav=87.2684637568585, energy_vol=398.3872314379067, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='NbS2', formula_discharge='Rb(NbS2)2', stability_charge=0.0, stability_discharge=0.10028402668571168, id_charge=MPID(mp-10033), id_discharge=MPID(mp-1219792))]",67.08075181,87.26846376,306.2287778,398.3872314,1.300946417,mp-10033,mp-1219792,Hexagonal,194,Trigonal,164
mp-1207560_Rb,Rb0-1Zr6MnCl14,Rb0Zr6MnCl14,Rb1Zr6MnCl14,Zr6MnCl14,Rb,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.0031613383664486072, average_voltage=2.5013192025000195, capacity_grav=22.63463029370318, capacity_vol=75.82242294048481, energy_grav=56.61643539512842, energy_vol=189.65608248111266, fracA_charge=0.0, fracA_discharge=0.045454545454545456, formula_charge='Zr6MnCl14', formula_discharge='RbZr6MnCl14', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1207560), id_discharge=MPID(mp-1209676))]",22.63463029,56.6164354,75.82242294,189.6560825,2.501319203,mp-1207560,mp-1209676,Orthorhombic,64,Orthorhombic,64
mp-16318_Rb,Rb0-1TiS2,Rb0TiS2,Rb1TiS2,TiS2,Rb,1,0.00952151,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.037245019877563346, average_voltage=1.2863254475000006, capacity_grav=135.72789249204865, capacity_vol=494.9410512161483, energy_grav=174.59024204806644, energy_vol=636.6552691917327, fracA_charge=0.0, fracA_discharge=0.25, formula_charge='TiS2', formula_discharge='RbTiS2', stability_charge=0.0095215099999999, stability_discharge=0.0, id_charge=MPID(mp-558110), id_discharge=MPID(mp-16318))]",135.7278925,174.590242,494.9410512,636.6552692,1.286325448,mp-558110,mp-16318,Trigonal,166,Trigonal,160
mp-554622_Rb,Rb0-3P(W3O10)4,Rb0P(W3O10)4,Rb3P(W3O10)4,P(W3O10)4,Rb,1,0.124143619,0.009855546,"[InsertionVoltagePairDoc(max_delta_volume=0.041904422959023524, average_voltage=5.948169767500007, capacity_grav=25.660175047350087, capacity_vol=150.68277131689865, energy_grav=152.63107744540585, energy_vol=896.2867048302937, fracA_charge=0.0, fracA_discharge=0.05357142857142857, formula_charge='P(W3O10)4', formula_discharge='Rb3P(W3O10)4', stability_charge=0.12414361898585291, stability_discharge=0.009855545915177899, id_charge=MPID(mp-728875), id_discharge=MPID(mp-554622))]",25.66017505,152.6310774,150.6827713,896.2867048,5.948169768,mp-728875,mp-554622,Cubic,224,Cubic,224
mp-799_Rb,Rb0-0.5V3S4,Rb0V3S4,Rb0.5V3S4,V3S4,Rb,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.03937503569236345, average_voltage=1.1599203375000038, capacity_grav=41.383505608952255, capacity_vol=183.96233053437953, energy_grav=48.0015697928692, energy_vol=213.38164852072475, fracA_charge=0.0, fracA_discharge=0.06666666666666667, formula_charge='V3S4', formula_discharge='Rb(V3S4)2', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-799), id_discharge=MPID(mp-1219696))]",41.38350561,48.00156979,183.9623305,213.3816485,1.159920338,mp-799,mp-1219696,Hexagonal,176,Trigonal,147
mp-777879_Rb,Rb0-1Ni4(PO4)3,Rb0Ni4(PO4)3,Rb1Ni4(PO4)3,Ni4(PO4)3,Rb,1,0.051322082,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.03272399008967364, average_voltage=4.875772587499973, capacity_grav=44.28858659535293, capacity_vol=180.03433570717195, energy_grav=215.94107646074056, energy_vol=877.8064788497965, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Ni4(PO4)3', formula_discharge='RbNi4(PO4)3', stability_charge=0.051322082105261124, stability_discharge=0.0, id_charge=MPID(mp-777879), id_discharge=MPID(mp-1203865))]",44.2885866,215.9410765,180.0343357,877.8064788,4.875772587,mp-777879,mp-1203865,Orthorhombic,58,Orthorhombic,58
mp-10810_Rb,Rb0-2TiAgF6,Rb0TiAgF6,Rb2TiAgF6,TiAgF6,Rb,1,0.005325126,0.190504641,"[InsertionVoltagePairDoc(max_delta_volume=0.4448601496223952, average_voltage=3.3005823525, capacity_grav=121.64211406676873, capacity_vol=504.741219890696, energy_grav=401.4898150095689, energy_vol=1665.9399629505533, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='TiAgF6', formula_discharge='Rb2TiAgF6', stability_charge=0.005325125625000204, stability_discharge=0.19050464099999687, id_charge=MPID(mp-10810), id_discharge=MPID(mp-1110599))]",121.6421141,401.489815,504.7412199,1665.939963,3.300582353,mp-10810,mp-1110599,Triclinic,2,Cubic,225
mp-560878_Rb,Rb2-3CoF6,Rb2CoF6,Rb3CoF6,CoF6,Rb,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.16374611899260016, average_voltage=4.388399527500005, capacity_grav=62.4267289476421, capacity_vol=230.17713859464442, energy_grav=273.9534278172035, energy_vol=1010.1092462500408, fracA_charge=0.2222222222222222, fracA_discharge=0.3, formula_charge='Rb2CoF6', formula_discharge='Rb3CoF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-560878), id_discharge=MPID(mp-1113630))]",62.42672895,273.9534278,230.1771386,1010.109246,4.388399528,mp-560878,mp-1113630,Cubic,225,Cubic,225
mp-1113821_Rb,Rb2-3VF6,Rb2VF6,Rb3VF6,VF6,Rb,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.20831618815287611, average_voltage=2.7366343675000016, capacity_grav=63.61081049709419, capacity_vol=225.38689793947518, energy_grav=174.07953015087782, energy_vol=616.801530885383, fracA_charge=0.2222222222222222, fracA_discharge=0.3, formula_charge='Rb2VF6', formula_discharge='Rb3VF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1209267), id_discharge=MPID(mp-1113821))]",63.6108105,174.0795302,225.3868979,616.8015309,2.736634368,mp-1209267,mp-1113821,Cubic,225,Cubic,225
mp-19342_Rb,Rb0-1WO3,Rb0WO3,Rb1WO3,WO3,Rb,1,0.000278301,0.15323808,"[InsertionVoltagePairDoc(max_delta_volume=0.15986511365531353, average_voltage=1.4660550700000023, capacity_grav=84.46572439652542, capacity_vol=665.8544419895918, energy_grav=123.83140349274898, energy_vol=976.1792805608635, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='WO3', formula_discharge='RbWO3', stability_charge=0.00027830062500022734, stability_discharge=0.15323808016666618, id_charge=MPID(mp-19342), id_discharge=MPID(mp-975138))]",84.4657244,123.8314035,665.854442,976.1792806,1.46605507,mp-19342,mp-975138,Orthorhombic,60,Cubic,221
