battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-1143147_Y,Y0-0.67FeSiO4,Y0FeSiO4,Y0.67FeSiO4,FeSiO4,Y,1,0.432407462,0.151483474,"[InsertionVoltagePairDoc(max_delta_volume=0.2289978219462936, average_voltage=3.6851138959722243, capacity_grav=258.70322021406724, capacity_vol=1135.0202729881203, energy_grav=953.3508317436216, energy_vol=4182.67898019871, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='FeSiO4', formula_discharge='Y2Fe3(SiO4)3', stability_charge=0.43240746249999873, stability_discharge=0.15148347383333238, id_charge=MPID(mp-1143147), id_discharge=MPID(mp-1324167))]",258.7032202,953.3508317,1135.020273,4182.67898,3.685113896,mp-1143147,mp-1324167,Cubic,230,Cubic,230
mp-1143241_Y,Y0-0.67CrSiO4,Y0CrSiO4,Y0.67CrSiO4,CrSiO4,Y,1,0.466913468,0.198419636,"[InsertionVoltagePairDoc(max_delta_volume=0.37007365824692706, average_voltage=3.117184623472222, capacity_grav=263.5998219687874, capacity_vol=1101.5807454618503, energy_grav=821.6893117911193, energy_vol=3433.8305612667473, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='CrSiO4', formula_discharge='Y2Cr3(SiO4)3', stability_charge=0.4669134675000013, stability_discharge=0.19841963566667786, id_charge=MPID(mp-1143241), id_discharge=MPID(mp-1157313))]",263.599822,821.6893118,1101.580745,3433.830561,3.117184623,mp-1143241,mp-1157313,Cubic,230,Cubic,230
mp-1048799_Y,Y0.33-0.67CuO2,Y0.33CuO2,Y0.67CuO2,CuO2,Y,1,0.657222273,0.311842346,"[InsertionVoltagePairDoc(max_delta_volume=0.019984473298669148, average_voltage=4.0198485688888885, capacity_grav=173.1189979549654, capacity_vol=720.5629967221087, energy_grav=695.9121561767461, energy_vol=2896.5541311676575, fracA_charge=0.1, fracA_discharge=0.18181818181818182, formula_charge='Y(CuO2)3', formula_discharge='Y2(CuO2)3', stability_charge=0.6572222728000066, stability_discharge=0.31184234624999796, id_charge=MPID(mp-1372494), id_discharge=MPID(mp-1048799))]",173.118998,695.9121562,720.5629967,2896.554131,4.019848569,mp-1372494,mp-1048799,Monoclinic,8,Monoclinic,4
mp-1041824_Y,Y0-1V(WO4)2,Y0V(WO4)2,Y1V(WO4)2,V(WO4)2,Y,1,0.14213655,0.137047394,"[InsertionVoltagePairDoc(max_delta_volume=0.03496915482780172, average_voltage=2.2733854955555564, capacity_grav=126.51705818478302, capacity_vol=836.93626574887, energy_grav=287.6220450176441, energy_vol=1902.6787672579117, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='V(WO4)2', formula_discharge='YV(WO4)2', stability_charge=0.14213655045453777, stability_discharge=0.13704739447916658, id_charge=MPID(mp-1041824), id_discharge=MPID(mp-1047195))]",126.5170582,287.622045,836.9362657,1902.678767,2.273385496,mp-1041824,mp-1047195,Triclinic,2,Triclinic,1
mp-4355_Y,Y0.67-1TiO3,Y0.67TiO3,Y1TiO3,TiO3,Y,1,0.044719157,0.057953293,"[InsertionVoltagePairDoc(max_delta_volume=0.047435617082757675, average_voltage=0.9697321780555532, capacity_grav=145.05238318104432, capacity_vol=755.9288130490108, energy_grav=140.6619634743028, energy_vol=733.0484943329664, fracA_charge=0.14285714285714285, fracA_discharge=0.2, formula_charge='Y2Ti3O9', formula_discharge='YTiO3', stability_charge=0.044719157321427616, stability_discharge=0.05795329274999261, id_charge=MPID(mp-1365383), id_discharge=MPID(mp-4355))]",145.0523832,140.6619635,755.928813,733.0484943,0.969732178,mp-1365383,mp-4355,Orthorhombic,62,Orthorhombic,62
mp-1043118_Y,Y0-1Cu3(MoO3)4,Y0Cu3(MoO3)4,Y1Cu3(MoO3)4,Cu3(MoO3)4,Y,1,0.012036357,0.104674245,"[InsertionVoltagePairDoc(max_delta_volume=0.04913403106301906, average_voltage=2.1310209955555526, capacity_grav=94.00766790807806, capacity_vol=582.8659742898157, energy_grav=200.33231405532828, energy_vol=1242.09962880654, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Cu3(MoO3)4', formula_discharge='YCu3(MoO3)4', stability_charge=0.012036356541352156, stability_discharge=0.10467424525000446, id_charge=MPID(mp-1043118), id_discharge=MPID(mp-1045838))]",94.00766791,200.3323141,582.8659743,1242.099629,2.131020996,mp-1043118,mp-1045838,Trigonal,148,Cubic,204
mp-1042300_Y,Y0-1Ta(WO4)2,Y0Ta(WO4)2,Y1Ta(WO4)2,Ta(WO4)2,Y,1,0.186893997,0.27750538,"[InsertionVoltagePairDoc(max_delta_volume=0.08470508609724847, average_voltage=1.7979300122222224, capacity_grav=105.03122780231399, capacity_vol=811.7601335022438, energy_grav=188.83879668632943, energy_vol=1459.487906749202, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Ta(WO4)2', formula_discharge='YTa(WO4)2', stability_charge=0.18689399749991864, stability_discharge=0.2775053804166756, id_charge=MPID(mp-1042300), id_discharge=MPID(mp-1047438))]",105.0312278,188.8387967,811.7601335,1459.487907,1.797930012,mp-1042300,mp-1047438,Triclinic,1,Triclinic,1
mp-1388393_Y,Y0-0.5CrO2,Y0CrO2,Y0.5CrO2,CrO2,Y,1,0.191386786,0.1928691,"[InsertionVoltagePairDoc(max_delta_volume=0.23920161116042649, average_voltage=2.4846761438888882, capacity_grav=312.9848381476747, capacity_vol=1468.3571867220464, energy_grav=777.6659607444521, energy_vol=3648.3920725560706, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='CrO2', formula_discharge='YCr2O4', stability_charge=0.19138678583331803, stability_discharge=0.19286910011904368, id_charge=MPID(mp-1400837), id_discharge=MPID(mp-1388393))]",312.9848381,777.6659607,1468.357187,3648.392073,2.484676144,mp-1400837,mp-1388393,Cubic,227,Trigonal,166
mp-215_Y,Y0-1Sb,Y0Sb,Y1Sb,Sb,Y,1,0.32835344,0.0,"[InsertionVoltagePairDoc(max_delta_volume=1.1831377855775003, average_voltage=0.9462090022222224, capacity_grav=381.66814144813543, capacity_vol=2224.602000814126, energy_grav=361.13783129965026, energy_vol=2104.9384395318934, fracA_charge=0.0, fracA_discharge=0.5, formula_charge='Sb', formula_discharge='YSb', stability_charge=0.3283534399999999, stability_discharge=0.0, id_charge=MPID(mp-10630), id_discharge=MPID(mp-215))]",381.6681414,361.1378313,2224.602001,2104.93844,0.946209002,mp-10630,mp-215,Cubic,225,Cubic,225
mp-1362272_Y,Y0.33-0.67Cu(WO4)2,Y0.33Cu(WO4)2,Y0.67Cu(WO4)2,Cu(WO4)2,Y,1,0.163121019,0.094662008,"[InsertionVoltagePairDoc(max_delta_volume=0.03691197345148289, average_voltage=4.009528585555546, capacity_grav=43.33361022703545, capacity_vol=279.44572362489345, energy_grav=173.7473489206208, energy_vol=1120.445616985265, fracA_charge=0.029411764705882353, fracA_discharge=0.05714285714285714, formula_charge='YCu3(WO4)6', formula_discharge='Y2Cu3(WO4)6', stability_charge=0.16312101871849016, stability_discharge=0.09466200807143288, id_charge=MPID(mp-1814603), id_discharge=MPID(mp-1362272))]",43.33361023,173.7473489,279.4457236,1120.445617,4.009528586,mp-1814603,mp-1362272,Triclinic,2,Triclinic,2
