battery_id,battery_formula,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,formula_charge,formula_discharge,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,charge_energy_per_atom,charge_formation_energy_per_atom,charge_band_gap,charge_efermi,discharge_crystal_system,discharge_space_group_number,discharge_energy_per_atom,discharge_formation_energy_per_atom,discharge_band_gap,discharge_efermi,charge_H,charge_Li,charge_Na,charge_K,charge_Rb,charge_Cs,charge_Fr,charge_Be,charge_Mg,charge_Ca,charge_Sr,charge_Ba,charge_Ra,charge_Sc,charge_Y,charge_La-Lu,charge_Ac-Lr,charge_La,charge_Ac,charge_Ti,charge_Zr,charge_Hf,charge_Rf,charge_Ce,charge_Th,charge_V,charge_Nb,charge_Ta,charge_Db,charge_Pr,charge_Pa,charge_Cr,charge_Mo,charge_W,charge_Sg,charge_Nd,charge_U,charge_Mn,charge_Tc,charge_Re,charge_Bh,charge_Pm,charge_Np,charge_Fe,charge_Ru,charge_Os,charge_Hs,charge_Sm,charge_Pu,charge_Co,charge_Rh,charge_Ir,charge_Mt,charge_Eu,charge_Am,charge_Ni,charge_Pd,charge_Pt,charge_Ds,charge_Gd,charge_Cm,charge_Cu,charge_Ag,charge_Au,charge_Rg,charge_Tb,charge_Bk,charge_Zn,charge_Cd,charge_Hg,charge_Cn,charge_Dy,charge_Cf,charge_B,charge_Al,charge_Ga,charge_In,charge_Tl,charge_Nh,charge_Ho,charge_Es,charge_C,charge_Si,charge_Ge,charge_Sn,charge_Pb,charge_Fl,charge_Er,charge_Fm,charge_N,charge_P,charge_As,charge_Sb,charge_Bi,charge_Mc,charge_Tm,charge_Md,charge_O,charge_S,charge_Se,charge_Te,charge_Po,charge_Lv,charge_Yb,charge_No,charge_F,charge_Cl,charge_Br,charge_I,charge_At,charge_Ts,charge_Lu,charge_Lr,charge_He,charge_Ne,charge_Ar,charge_Kr,charge_Xe,charge_Rn,charge_Og,discharge_H,discharge_Li,discharge_Na,discharge_K,discharge_Rb,discharge_Cs,discharge_Fr,discharge_Be,discharge_Mg,discharge_Ca,discharge_Sr,discharge_Ba,discharge_Ra,discharge_Sc,discharge_Y,discharge_La-Lu,discharge_Ac-Lr,discharge_La,discharge_Ac,discharge_Ti,discharge_Zr,discharge_Hf,discharge_Rf,discharge_Ce,discharge_Th,discharge_V,discharge_Nb,discharge_Ta,discharge_Db,discharge_Pr,discharge_Pa,discharge_Cr,discharge_Mo,discharge_W,discharge_Sg,discharge_Nd,discharge_U,discharge_Mn,discharge_Tc,discharge_Re,discharge_Bh,discharge_Pm,discharge_Np,discharge_Fe,discharge_Ru,discharge_Os,discharge_Hs,discharge_Sm,discharge_Pu,discharge_Co,discharge_Rh,discharge_Ir,discharge_Mt,discharge_Eu,discharge_Am,discharge_Ni,discharge_Pd,discharge_Pt,discharge_Ds,discharge_Gd,discharge_Cm,discharge_Cu,discharge_Ag,discharge_Au,discharge_Rg,discharge_Tb,discharge_Bk,discharge_Zn,discharge_Cd,discharge_Hg,discharge_Cn,discharge_Dy,discharge_Cf,discharge_B,discharge_Al,discharge_Ga,discharge_In,discharge_Tl,discharge_Nh,discharge_Ho,discharge_Es,discharge_C,discharge_Si,discharge_Ge,discharge_Sn,discharge_Pb,discharge_Fl,discharge_Er,discharge_Fm,discharge_N,discharge_P,discharge_As,discharge_Sb,discharge_Bi,discharge_Mc,discharge_Tm,discharge_Md,discharge_O,discharge_S,discharge_Se,discharge_Te,discharge_Po,discharge_Lv,discharge_Yb,discharge_No,discharge_F,discharge_Cl,discharge_Br,discharge_I,discharge_At,discharge_Ts,discharge_Lu,discharge_Lr,discharge_He,discharge_Ne,discharge_Ar,discharge_Kr,discharge_Xe,discharge_Rn,discharge_Og
mp-1044323_Zn,Zn0-1TiMo(PO4)3,TiMo(PO4)3,Zn,1,0.0,0.012482138,"[InsertionVoltagePairDoc(max_delta_volume=0.02147401197951404, average_voltage=0.6606517674999927, capacity_grav=108.4794547214188, capacity_vol=380.0856843448274, energy_grav=71.66714349914076, energy_vol=251.10427916385453, fracA_charge=0.0, fracA_discharge=0.05555555555555555, formula_charge='TiMo(PO4)3', formula_discharge='TiZnMo(PO4)3', stability_charge=0.0, stability_discharge=0.012482138044533464, id_charge=MPID(mp-1044323), id_discharge=MPID(mp-1044342))]",108.4794547,71.6671435,380.0856843,251.1042792,0.660651767,TiMo(PO4)3,TiZnMo(PO4)3,mp-1044323,mp-1044342,Trigonal,161,-8.263923617,-2.713536874,1.3523,0.8292558,Trigonal,161,-7.948208257,-2.636190578,1.0987,2.59660432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1046891_Zn,Zn0-0.5BiO2,BiO2,Zn,1,0.186167788,0.194792076,"[InsertionVoltagePairDoc(max_delta_volume=0.07868958381826419, average_voltage=1.3926528474999995, capacity_grav=97.92867147500525, capacity_vol=791.4122225057636, energy_grav=136.38064318155804, energy_vol=1102.1624852189548, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='BiO2', formula_discharge='Zn(BiO2)2', stability_charge=0.18616778750000051, stability_discharge=0.19479207571429225, id_charge=MPID(mp-1391102), id_discharge=MPID(mp-1046891))]",97.92867148,136.3806432,791.4122225,1102.162485,1.392652847,BiO2,Zn(BiO2)2,mp-1391102,mp-1046891,Orthorhombic,74,-5.868915112,-1.273596339,0.8823,1.61835913,Cubic,227,-5.608362854,-1.489554819,0.3977,3.82373052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-550998_Zn,Zn0-1Ti(BiO3)2,Ti(BiO3)2,Zn,1,0.302865982,0.062952686,"[InsertionVoltagePairDoc(max_delta_volume=0.0018821945811975382, average_voltage=2.693917160000002, capacity_grav=85.45938303445637, capacity_vol=634.143084007681, energy_grav=230.22049843953505, energy_vol=1708.3289359036146, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='Ti(BiO3)2', formula_discharge='TiZn(BiO3)2', stability_charge=0.3028659824999975, stability_discharge=0.06295268550000621, id_charge=MPID(mp-1391774), id_discharge=MPID(mp-550998))]",85.45938303,230.2204984,634.143084,1708.328936,2.69391716,Ti(BiO3)2,TiZn(BiO3)2,mp-1391774,mp-550998,Tetragonal,99,-6.877889511,-1.837519881,0.0,2.28392589,Tetragonal,99,-6.854858353,-2.192551325,1.5434,4.00925566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-504110_Zn,Zn0-0.5WO2,WO2,Zn,1,0.487485004,0.27357889,"[InsertionVoltagePairDoc(max_delta_volume=0.016973622378497533, average_voltage=0.7684932350000017, capacity_grav=107.83425320804822, capacity_vol=958.695420993191, energy_grav=82.86989409166229, energy_vol=736.7509454587458, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='WO2', formula_discharge='Zn(WO2)2', stability_charge=0.4874850041666665, stability_discharge=0.27357889035714145, id_charge=MPID(mp-504110), id_discharge=MPID(mp-1046917))]",107.8342532,82.86989409,958.695421,736.7509455,0.768493235,WO2,Zn(WO2)2,mp-504110,mp-1046917,Cubic,227,-9.166973494,-1.548957334,0.0,2.41947573,Cubic,227,-8.256938721,-1.547247211,0.779,3.25871818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-8637_Zn,Zn0-7Mo,Mo,Zn,2,0.4114601,0.012573652,"[InsertionVoltagePairDoc(max_delta_volume=6.198991325208806, average_voltage=0.05956459999999997, capacity_grav=658.5211401949382, capacity_vol=4595.145353396728, energy_grav=39.2245483072554, energy_vol=273.7079949169346, fracA_charge=0.0, fracA_discharge=0.8571428571428571, formula_charge='Mo', formula_discharge='Zn6Mo', stability_charge=0.41146009999999933, stability_discharge=0.0, id_charge=MPID(mp-8637), id_discharge=MPID(mp-972048)), InsertionVoltagePairDoc(max_delta_volume=0.028332959338209562, average_voltage=-0.05029460999999936, capacity_grav=96.7906679644707, capacity_vol=744.756405933276, energy_grav=-4.8680488969124855, energy_vol=-37.45723298141532, fracA_charge=0.8571428571428571, fracA_discharge=0.875, formula_charge='Zn6Mo', formula_discharge='Zn7Mo', stability_charge=0.0, stability_discharge=0.012573652499999977, id_charge=MPID(mp-972048), id_discharge=MPID(mp-644500))]",677.5346758,29.72373563,5213.294842,228.7094715,0.043870427,Mo,Zn7Mo,mp-8637,mp-644500,Cubic,225,-10.43418293,0.4114601,0.0,7.92572158,Cubic,225,-2.483321773,-0.025340735,0.0,3.57737046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-6408_Zn,Zn0-1Cu2GeS4,Cu2GeS4,Zn,1,0.063265548,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.08460585564667733, average_voltage=1.1117000550000005, capacity_grav=136.2552771617962, capacity_vol=584.3528253929088, energy_grav=151.47499911480912, energy_vol=649.6250681287024, fracA_charge=0.0, fracA_discharge=0.125, formula_charge='Cu2GeS4', formula_discharge='ZnCu2GeS4', stability_charge=0.0632655476984123, stability_discharge=0.0, id_charge=MPID(mp-1147769), id_discharge=MPID(mp-6408))]",136.2552772,151.4749991,584.3528254,649.6250681,1.111700055,Cu2GeS4,ZnCu2GeS4,mp-1147769,mp-6408,Tetragonal,121,-4.676621439,-0.481301344,0.0,3.59108099,Tetragonal,121,-4.527436724,-0.69906369,0.3694,4.37297574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1043611_Zn,Zn0-0.5Fe2O3,Fe2O3,Zn,1,0.275173419,0.122825947,"[InsertionVoltagePairDoc(max_delta_volume=0.027578772067410995, average_voltage=1.235497089999996, capacity_grav=139.30612307724718, capacity_vol=768.2198045246633, energy_grav=172.11230968112017, energy_vol=949.1333329705873, fracA_charge=0.0, fracA_discharge=0.09090909090909091, formula_charge='Fe2O3', formula_discharge='Zn(Fe2O3)2', stability_charge=0.2751734194999855, stability_discharge=0.12282594681818626, id_charge=MPID(mp-1378486), id_discharge=MPID(mp-1043611))]",139.3061231,172.1123097,768.2198045,949.133333,1.23549709,Fe2O3,Zn(Fe2O3)2,mp-1378486,mp-1043611,Orthorhombic,63,-7.788703021,-1.431923038,0.5554,2.85863842,Orthorhombic,63,-7.41979709,-1.52638405,0.6253,4.29834566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1043538_Zn,Zn0-1Cr(Si2O5)2,Cr(Si2O5)2,Zn,1,0.202736063,0.075740146,"[InsertionVoltagePairDoc(max_delta_volume=0.13838573074761773, average_voltage=1.8282157700000006, capacity_grav=137.5347949978275, capacity_vol=441.6204746620029, energy_grav=251.44328113874545, energy_vol=807.3775161319594, fracA_charge=0.0, fracA_discharge=0.0625, formula_charge='Cr(Si2O5)2', formula_discharge='ZnCr(Si2O5)2', stability_charge=0.20273606316667525, stability_discharge=0.0757401459375, id_charge=MPID(mp-1142841), id_discharge=MPID(mp-1043538))]",137.534795,251.4432811,441.6204747,807.3775161,1.82821577,Cr(Si2O5)2,ZnCr(Si2O5)2,mp-1142841,mp-1043538,Tetragonal,130,-8.209475037,-2.820547464,0.0149,0.25763973,Tetragonal,130,-8.003643794,-2.872790219,3.2562,2.40442282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1044267_Zn,Zn0-1TiV(PO4)3,TiV(PO4)3,Zn,1,0.014028971,0.042853893,"[InsertionVoltagePairDoc(max_delta_volume=0.024793602635992507, average_voltage=1.0500071475000046, capacity_grav=119.34801283543612, capacity_vol=396.4154443369697, energy_grav=125.31626651713022, energy_vol=416.2390499332084, fracA_charge=0.0, fracA_discharge=0.05555555555555555, formula_charge='TiV(PO4)3', formula_discharge='TiVZn(PO4)3', stability_charge=0.014028971470587237, stability_discharge=0.04285389311728771, id_charge=MPID(mp-1044267), id_discharge=MPID(mp-1044402))]",119.3480128,125.3162665,396.4154443,416.2390499,1.050007148,TiV(PO4)3,TiVZn(PO4)3,mp-1044267,mp-1044402,Trigonal,161,-8.20426057,-2.757505413,1.3491,0.31576336,Trigonal,161,-7.935121533,-2.720978129,0.0714,3.87275512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-1404033_Zn,Zn0.25-0.5TiO2,TiO2,Zn,1,0.162401932,0.15525873,"[InsertionVoltagePairDoc(max_delta_volume=0.010915424095564674, average_voltage=-0.031198554999995468, capacity_grav=119.04330514071603, capacity_vol=562.0948293945153, energy_grav=-3.7139791028138722, energy_vol=-17.536546450077854, fracA_charge=0.07692307692307693, fracA_discharge=0.14285714285714285, formula_charge='Ti4ZnO8', formula_discharge='Ti2ZnO4', stability_charge=0.16240193153846505, stability_discharge=0.15525872999998924, id_charge=MPID(mp-1412440), id_discharge=MPID(mp-1404033))]",119.0433051,-3.713979103,562.0948294,-17.53654645,-0.031198555,Ti4ZnO8,Ti2ZnO4,mp-1412440,mp-1404033,Monoclinic,8,-8.641055898,-3.069871304,0.0,4.56341371,Monoclinic,12,-8.109362369,-2.846137846,0.0,5.43128678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
