battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,charge_energy_per_atom,charge_formation_energy_per_atom,charge_band_gap,charge_efermi,discharge_crystal_system,discharge_space_group_number,discharge_energy_per_atom,discharge_formation_energy_per_atom,discharge_band_gap,discharge_efermi
mp-1111695_K,K0-3CrF6,K0CrF6,K3CrF6,CrF6,K,2,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.25398353503351645, average_voltage=5.763446638000001, capacity_grav=219.51952479902542, capacity_vol=615.2551708758516, energy_grav=1265.189067178301, energy_vol=3545.9903460965434, fracA_charge=0.0, fracA_discharge=0.2222222222222222, formula_charge='CrF6', formula_discharge='K2CrF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1391848), id_discharge=MPID(mp-1211950)), InsertionVoltagePairDoc(max_delta_volume=0.22129641571523484, average_voltage=4.891730943, capacity_grav=94.61079805746714, capacity_vol=251.88609536511916, energy_grav=462.8105683996363, energy_vol=1232.1590068090022, fracA_charge=0.2222222222222222, fracA_discharge=0.3, formula_charge='K2CrF6', formula_discharge='K3CrF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1211950), id_discharge=MPID(mp-1111695))]",283.8323942,1553.37914,755.6582861,4135.623146,5.47287474,mp-1391848,mp-1111695,Trigonal,148,-5.083175071,-2.065757746,2.0863,-5.36751013,Cubic,225,-5.533204656,-3.087892844,4.3858,-1.57563725
mp-752954_Li,Li0-4CrCo3O8,Li0CrCo3O8,Li4CrCo3O8,CrCo3O8,Li,4,0.069316946,0.122768149,"[InsertionVoltagePairDoc(max_delta_volume=0.021289447850575183, average_voltage=4.607600038333335, capacity_grav=73.68471737187377, capacity_vol=315.3879898686799, energy_grav=339.50970658722656, energy_vol=1453.181714208803, fracA_charge=0.0, fracA_discharge=0.07692307692307693, formula_charge='CrCo3O8', formula_discharge='LiCrCo3O8', stability_charge=0.06931694625000784, stability_discharge=0.025765854134614408, id_charge=MPID(mp-753507), id_discharge=MPID(mp-758629)), InsertionVoltagePairDoc(max_delta_volume=0.002766559718839545, average_voltage=3.704439483333336, capacity_grav=72.30494117573204, capacity_vol=316.26052957725636, energy_grav=267.849278931476, energy_vol=1171.5679927858987, fracA_charge=0.07692307692307693, fracA_discharge=0.14285714285714285, formula_charge='LiCrCo3O8', formula_discharge='Li2CrCo3O8', stability_charge=0.025765854134614408, stability_discharge=0.042992751825396525, id_charge=MPID(mp-758629), id_discharge=MPID(mp-752954)), InsertionVoltagePairDoc(max_delta_volume=0.020254662030849913, average_voltage=3.2706186833333293, capacity_grav=70.97588889074852, capacity_vol=309.9819499454474, energy_grav=232.1350682722726, energy_vol=1013.8327569876772, fracA_charge=0.14285714285714285, fracA_discharge=0.2, formula_charge='Li2CrCo3O8', formula_discharge='Li3CrCo3O8', stability_charge=0.042992751825396525, stability_discharge=0.05007573345370897, id_charge=MPID(mp-752954), id_discharge=MPID(mp-759149)), InsertionVoltagePairDoc(max_delta_volume=0.005382005212495766, average_voltage=2.0405544183333335, capacity_grav=69.69481390247817, capacity_vol=308.322556340095, energy_grav=142.21606044362127, energy_vol=629.1489546116089, fracA_charge=0.2, fracA_discharge=0.25, formula_charge='Li3CrCo3O8', formula_discharge='Li4CrCo3O8', stability_charge=0.05007573345370897, stability_discharge=0.12276814874999875, id_charge=MPID(mp-759149), id_discharge=MPID(mp-756706))]",278.7792556,949.4672685,1233.290225,4200.343742,3.405803156,mp-753507,mp-756706,Trigonal,166,-7.135981453,-1.255840712,0.7063,0.60258821,Trigonal,166,-6.680667596,-1.793331323,0.33,2.99136584
mp-1340542_Ca,Ca0-1W5O7,Ca0W5O7,Ca1W5O7,W5O7,Ca,1,0.854397105,0.846574927,"[InsertionVoltagePairDoc(max_delta_volume=0.08909569879877988, average_voltage=1.7041013874999988, capacity_grav=50.03665943358998, capacity_vol=540.1460410911955, energy_grav=85.2675407666456, energy_vol=920.4636180761375, fracA_charge=0.0, fracA_discharge=0.07692307692307693, formula_charge='W5O7', formula_discharge='CaW5O7', stability_charge=0.8543971047916674, stability_discharge=0.846574927115384, id_charge=MPID(mp-1345171), id_discharge=MPID(mp-1340542))]",50.03665943,85.26754077,540.1460411,920.4636181,1.704101387,mp-1345171,mp-1340542,Orthorhombic,63,-9.21301989,-0.927489941,0.0,4.85949704,Orthorhombic,63,-8.92077241,-1.118314005,0.0,6.26554023
mp-2657_Li,Li0-0.75TiO2,Li0TiO2,Li0.75TiO2,TiO2,Li,1,0.037212773,0.127006447,"[InsertionVoltagePairDoc(max_delta_volume=0.11106615280384058, average_voltage=1.0266501766666634, capacity_grav=236.28476099263406, capacity_vol=934.5498350292401, energy_grav=242.58179161672808, energy_vol=959.4557532365704, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='TiO2', formula_discharge='Li3Ti4O8', stability_charge=0.03721277250000021, stability_discharge=0.1270064470000012, id_charge=MPID(mp-2657), id_discharge=MPID(mp-558256))]",236.284761,242.5817916,934.549835,959.4557532,1.026650177,mp-2657,mp-558256,Tetragonal,136,-9.394887908,-3.464416566,1.781,3.2964511,Monoclinic,3,-8.103024935,-2.976863288,0.0,5.82834911
mp-1045759_Ca,Ca0-1Ti5O7,Ca0Ti5O7,Ca1Ti5O7,Ti5O7,Ca,1,0.155007673,0.108408885,"[InsertionVoltagePairDoc(max_delta_volume=0.02954178778064609, average_voltage=1.3222768450000004, capacity_grav=136.94879187879212, capacity_vol=661.2659622283661, energy_grav=181.08421645205092, energy_vol=874.3766702412133, fracA_charge=0.0, fracA_discharge=0.07692307692307693, formula_charge='Ti5O7', formula_discharge='CaTi5O7', stability_charge=0.1550076733333423, stability_discharge=0.10840888519230418, id_charge=MPID(mp-1045759), id_discharge=MPID(mp-1341727))]",136.9487919,181.0842165,661.2659622,874.3766702,1.322276845,mp-1045759,mp-1341727,Orthorhombic,63,-9.258616995,-3.082518068,0.0,6.154721,Orthorhombic,63,-8.904119808,-3.048828501,0.0,8.11066188
mp-770576_Li,Li0-1FeH12(SO7)2,Li0FeH12(SO7)2,Li1FeH12(SO7)2,FeH12(SO7)2,Li,1,0.025084184,0.034287987,"[InsertionVoltagePairDoc(max_delta_volume=0.09771550025188103, average_voltage=4.103281043333344, capacity_grav=73.83269561212266, capacity_vol=143.48132458882654, energy_grav=302.9563002834239, energy_vol=588.7441992576903, fracA_charge=0.0, fracA_discharge=0.03333333333333333, formula_charge='FeH12(SO7)2', formula_discharge='LiFeH12(SO7)2', stability_charge=0.02508418366376297, stability_discharge=0.03428798670833544, id_charge=MPID(mp-770576), id_discharge=MPID(mp-780157))]",73.83269561,302.9563003,143.4813246,588.7441993,4.103281043,mp-770576,mp-780157,Monoclinic,14,-5.804228021,-1.43432889,0.0266,-2.12687272,Monoclinic,4,-5.81116055,-1.523293961,2.3468,-1.07399709
mp-558810_Ca,Ca1.5-2TaMnO6,Ca1.5TaMnO6,Ca2TaMnO6,TaMnO6,Ca,1,0.085634092,0.008585782,"[InsertionVoltagePairDoc(max_delta_volume=0.06982909175816276, average_voltage=3.4772319000000094, capacity_grav=65.0460879952463, capacity_vol=365.07573211672707, energy_grav=226.18033214727808, energy_vol=1269.4529816321412, fracA_charge=0.15789473684210525, fracA_discharge=0.2, formula_charge='Ca3Ta2Mn2O12', formula_discharge='Ca2TaMnO6', stability_charge=0.08563409159147284, stability_discharge=0.008585782196426806, id_charge=MPID(mp-1345521), id_discharge=MPID(mp-558810))]",65.046088,226.1803321,365.0757321,1269.452982,3.4772319,mp-1345521,mp-558810,Monoclinic,6,-8.566161431,-2.911849981,0.4045,2.81545034,Monoclinic,11,-8.585856543,-3.113980672,0.4808,3.35328175
mp-1047798_Mg,Mg0-0.5CuMoO4,Mg0CuMoO4,Mg0.5CuMoO4,CuMoO4,Mg,1,0.064671634,0.067093296,"[InsertionVoltagePairDoc(max_delta_volume=0.014045115668787078, average_voltage=2.5195919949999963, capacity_grav=113.74098088265715, capacity_vol=499.9706468981994, energy_grav=286.5808649353906, energy_vol=1259.7220396596729, fracA_charge=0.0, fracA_discharge=0.07692307692307693, formula_charge='CuMoO4', formula_discharge='MgCu2(MoO4)2', stability_charge=0.06467163374999618, stability_discharge=0.06709329634615635, id_charge=MPID(mp-1047798), id_discharge=MPID(mp-1348661))]",113.7409809,286.5808649,499.9706469,1259.72204,2.519591995,mp-1047798,mp-1348661,Monoclinic,14,-7.322091448,-1.532642495,0.1636,0.75110429,Monoclinic,14,-7.269581648,-1.802376456,1.0693,3.41127395
mp-1143147_Y,Y0-0.67FeSiO4,Y0FeSiO4,Y0.67FeSiO4,FeSiO4,Y,1,0.432407462,0.151483474,"[InsertionVoltagePairDoc(max_delta_volume=0.2289978219462936, average_voltage=3.6851138959722243, capacity_grav=258.70322021406724, capacity_vol=1135.0202729881203, energy_grav=953.3508317436216, energy_vol=4182.67898019871, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='FeSiO4', formula_discharge='Y2Fe3(SiO4)3', stability_charge=0.43240746249999873, stability_discharge=0.15148347383333238, id_charge=MPID(mp-1143147), id_discharge=MPID(mp-1324167))]",258.7032202,953.3508317,1135.020273,4182.67898,3.685113896,mp-1143147,mp-1324167,Cubic,230,-7.527000073,-1.912472325,0.009,2.85190382,Cubic,230,-8.526481346,-2.826759261,3.8458,6.69468213
mp-673105_Zn,Zn0-1Cu3(P2O7)2,Zn0Cu3(P2O7)2,Zn1Cu3(P2O7)2,Cu3(P2O7)2,Zn,1,0.0079314,0.051612192,"[InsertionVoltagePairDoc(max_delta_volume=0.03872333694104091, average_voltage=1.6207260874999965, capacity_grav=88.75637657918305, capacity_vol=350.55463589286404, energy_grav=143.84977495385567, energy_vol=568.1530434856273, fracA_charge=0.0, fracA_discharge=0.045454545454545456, formula_charge='Cu3(P2O7)2', formula_discharge='ZnCu3(P2O7)2', stability_charge=0.007931400476187456, stability_discharge=0.05161219161930575, id_charge=MPID(mp-673105), id_discharge=MPID(mp-1047150))]",88.75637658,143.849775,350.5546359,568.1530435,1.620726087,mp-673105,mp-1047150,Monoclinic,14,-6.938408356,-2.023061493,0.0,1.38373451,Monoclinic,14,-6.827625966,-2.078442888,0.3547,2.75931146
mp-757908_Li,Li0-1FeP2O7,Li0FeP2O7,Li1FeP2O7,FeP2O7,Li,1,0.110417407,0.043609397,"[InsertionVoltagePairDoc(max_delta_volume=0.09932590395633989, average_voltage=5.292931158333336, capacity_grav=113.21572119795302, capacity_vol=349.84154995627813, energy_grav=599.2430183418255, energy_vol=1851.687240243213, fracA_charge=0.0, fracA_discharge=0.09090909090909091, formula_charge='FeP2O7', formula_discharge='LiFeP2O7', stability_charge=0.11041740691666035, stability_discharge=0.043609396590909455, id_charge=MPID(mp-1048396), id_discharge=MPID(mp-757908))]",113.2157212,599.2430183,349.84155,1851.68724,5.292931158,mp-1048396,mp-757908,Monoclinic,14,-7.594741395,-2.201507345,0.3708,-0.13336685,Monoclinic,14,-7.559024361,-2.482545873,2.2834,1.50175423
mp-19470_Na,Na0-4Ni7(PO4)6,Na0Ni7(PO4)6,Na4Ni7(PO4)6,Ni7(PO4)6,Na,1,0.059097808,0.008354527,"[InsertionVoltagePairDoc(max_delta_volume=0.0007451242471774311, average_voltage=4.37764028905173, capacity_grav=99.94575973892462, capacity_vol=374.26744502370525, energy_grav=437.5265845530007, energy_vol=1638.4082462162253, fracA_charge=0.0, fracA_discharge=0.0975609756097561, formula_charge='Ni7(PO4)6', formula_discharge='Na4Ni7(PO4)6', stability_charge=0.059097808108111494, stability_discharge=0.008354526829268849, id_charge=MPID(mp-32385), id_discharge=MPID(mp-19470))]",99.94575974,437.5265846,374.267445,1638.408246,4.377640289,mp-32385,mp-19470,Monoclinic,12,-7.187618311,-2.006757881,0.0,0.88200415,Monoclinic,8,-7.042500972,-2.238063482,3.3517,2.77577113
